,state,Actions Rewards
43,"([(5.0, 13.0), (19.0, 22.0)], 4, [(0, 3.0), (19.0, 22.0)], 1)",[-0.23348577 -0.23820504 -0.23832936]
44,"([(19.0, 22.0), (2.0, 10.0)], 4, [(19.0, 22.0), (12.0, 20.0)], 1)",[-10.00894615  -3.03734046  -9.87007541]
45,"([(19.0, 22.0), (12.0, 21.0)], 4, [(19.0, 22.0), (22.0, 24)], 1)",[0. 0. 0.]
46,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (11.0, 19.0)], 4)",[-0.59501791 -0.59185299 -0.5932783 ]
47,"([(1.0, 4.0), (10.0, 19.0)], 4, [(1.0, 4.0), (0, 9.0)], 4)",[-0.02027838 -0.06902076 -0.04978247]
48,"([(19.0, 22.0), (0, 7.0)], 4, [(19.0, 22.0), (9.0, 17.0)], 1)",[-78.66824293 -17.61532556 -83.16668804]
49,"([(2.0, 10.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 1)",[-4.83121425 -3.17807577 -4.86401624]
50,"([(19.0, 22.0), (14.0, 22.0)], 4, [(19.0, 22.0), (24.0, 24)], 1)",[0. 0. 0.]
51,"([(1.0, 4.0), (6.0, 15.0)], 4, [(1.0, 4.0), (0, 5.0)], 1)",[-0.23699351 -0.23717785 -0.23506392]
52,"([(12.0, 21.0), (19.0, 22.0)], 4, [(2.0, 11.0), (19.0, 22.0)], 1)",[-6.48001431 -5.44754229 -1.46154353]
53,"([(1.0, 10.0), (19.0, 22.0)], 4, [(0, 0.0), (19.0, 22.0)], 1)",[0. 0. 0.]
54,"([(1.0, 4.0), (16.0, 24)], 4, [(1.0, 4.0), (6.0, 14.0)], 1)",[-0.7214095  -0.84674017 -0.85893513]
55,"([(1.0, 4.0), (3.0, 11.0)], 4, [(1.0, 4.0), (0, 1.0)], 1)",[0. 0. 0.]
56,"([(10.0, 19.0), (19.0, 22.0)], 4, [(0, 9.0), (19.0, 22.0)], 1)",[-55.75159001 -65.76347803 -60.9876896 ]
57,"([(1.0, 9.0), (1.0, 4.0)], 4, [(11.0, 19.0), (1.0, 4.0)], 1)",[-5.21071823 -4.75407304 -1.23550756]
