,state,Actions Rewards
26,"(([(1.0, 4.0), (11.0, 19.0)], 0, [(1.0, 4.0), (1.0, 9.0)], 3), ([(0, -1.0), (1.0, 4.0)], 3, [(1.0, 9.0), (1.0, 4.0)], 2))",[  0. -50.   0.]
27,"(([(0, -1.0), (1.0, 4.0)], 3, [(1.0, 9.0), (1.0, 4.0)], 2), ([(1.0, 4.0), (11.0, 19.0)], 0, [(1.0, 4.0), (1.0, 9.0)], 3))",[-0.01280627  0.          0.        ]
28,"(([(1.0, 4.0), (7.0, 15.0)], 0, [(1.0, 4.0), (0, 5.0)], 3), ([(0, -1.0), (1.0, 4.0)], 3, [(0, 9.0), (1.0, 4.0)], 2))",[-50.   0.   0.]
29,"(([(0, -1.0), (1.0, 4.0)], 3, [(0, 9.0), (1.0, 4.0)], 2), ([(1.0, 4.0), (7.0, 15.0)], 0, [(1.0, 4.0), (0, 5.0)], 3))",[ 0.          0.         -0.00969521]
30,"(([(1.0, 4.0), (22.0, 24)], 2, [(1.0, 4.0), (12.0, 20.0)], 2), ([(11.0, 20.0), (19.0, 22.0)], 4, [(1.0, 10.0), (19.0, 22.0)], 1))",[ 0.         -0.01077132  0.        ]
31,"(([(11.0, 20.0), (19.0, 22.0)], 4, [(1.0, 10.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (22.0, 24)], 2, [(1.0, 4.0), (12.0, 20.0)], 2))",[ 0.          0.         -0.01315987]
32,"(([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (24.0, 24)], 0, [(1.0, 4.0), (14.0, 22.0)], 3))",[-676.25632531 -613.18346401 -692.00492739]
33,"(([(1.0, 4.0), (24.0, 24)], 0, [(1.0, 4.0), (14.0, 22.0)], 3), ([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1))",[-4290.45680938 -4220.0893042  -4285.7023329 ]
34,"(([(1.0, 4.0), (23.0, 24)], 0, [(1.0, 4.0), (13.0, 22.0)], 3), ([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1))",[-4603.01638606 -4979.15967694 -2678.74073726]
35,"(([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (23.0, 24)], 0, [(1.0, 4.0), (13.0, 22.0)], 3))",[-2147.93829318 -1905.75880473 -1434.361059  ]
36,"(([(1.0, 4.0), (23.0, 24)], 0, [(1.0, 4.0), (13.0, 21.0)], 3), ([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1))",[-1162.05827588 -1628.21315295 -1670.00073247]
37,"(([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (23.0, 24)], 0, [(1.0, 4.0), (13.0, 21.0)], 3))",[-333.27955994 -337.70062117 -331.04662596]
38,"(([(1.0, 4.0), (22.0, 24)], 0, [(1.0, 4.0), (12.0, 21.0)], 3), ([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1))",[-1023.00977957 -1083.62730169 -1082.915267  ]
