,state,Actions Rewards
0,"(([(9.0, 11.0), (1.0, 6.0)], 1, [(9.0, 11.0), (1.0, 6.0)], 1), ([(10.0, 14.0), (0, 5.0)], 0, [(10.0, 14.0), (0, 5.0)], 1))",[0. 0. 0.]
1,"(([(0, 2.0), (9.0, 11.0)], 0, [(0, 2.0), (9.0, 11.0)], 1), ([(1.0, 7.0), (10.0, 13.0)], 1, [(1.0, 7.0), (10.0, 13.0)], 1))",[-1.6153692 -1.6609511 -1.6128903]
2,"(([(2.0, 7.0), (10.0, 13.0)], 0, [(2.0, 7.0), (10.0, 13.0)], 1), ([(0, 2.0), (9.0, 11.0)], 1, [(0, 2.0), (9.0, 11.0)], 1))",[0. 0. 0.]
3,"(([(0, 2.0), (9.0, 11.0)], 1, [(0, 2.0), (9.0, 11.0)], 1), ([(1.0, 7.0), (10.0, 13.0)], 1, [(1.0, 7.0), (10.0, 13.0)], 1))",[-0.9474586  -0.91879647 -0.75144843]
4,"(([(1.0, 7.0), (10.0, 13.0)], 1, [(1.0, 7.0), (10.0, 13.0)], 1), ([(0, 2.0), (9.0, 11.0)], 1, [(0, 2.0), (9.0, 11.0)], 1))",[-0.84200106 -0.77084591 -0.97571773]
5,"(([(0, 2.0), (9.0, 11.0)], 1, [(0, 2.0), (9.0, 11.0)], 1), ([(1.0, 6.0), (10.0, 13.0)], 0, [(1.0, 6.0), (10.0, 13.0)], 1))",[-0.59320069 -0.643349   -0.58293022]
6,"(([(1.0, 7.0), (10.0, 13.0)], 1, [(1.0, 7.0), (10.0, 13.0)], 1), ([(0, 2.0), (9.0, 11.0)], 0, [(0, 2.0), (9.0, 11.0)], 1))",[-1.42067187 -1.37559195 -1.06256362]
7,"(([(0, 2.0), (9.0, 11.0)], 0, [(0, 2.0), (9.0, 11.0)], 1), ([(1.0, 6.0), (10.0, 13.0)], 0, [(1.0, 6.0), (10.0, 13.0)], 1))",[-1.31889322 -1.71016511 -1.40771644]
8,"(([(1.0, 6.0), (10.0, 13.0)], 0, [(1.0, 6.0), (10.0, 13.0)], 1), ([(0, 2.0), (9.0, 11.0)], 0, [(0, 2.0), (9.0, 11.0)], 1))",[-1.65419632 -1.31744344 -1.28230858]
9,"(([(1.0, 6.0), (10.0, 13.0)], 0, [(1.0, 6.0), (10.0, 13.0)], 1), ([(0, 3.0), (9.0, 11.0)], 0, [(0, 3.0), (9.0, 11.0)], 1))",[-1.42985349 -1.29816695 -1.27759589]
10,"(([(0, 3.0), (9.0, 11.0)], 0, [(0, 3.0), (9.0, 11.0)], 1), ([(1.0, 6.0), (10.0, 13.0)], 0, [(1.0, 6.0), (10.0, 13.0)], 1))",[-1.43624331 -1.26087946 -1.45605008]
11,"(([(7.0, 11.0), (12.0, 17.0)], 1, [(7.0, 11.0), (12.0, 17.0)], 1), ([(11.0, 16.0), (12.0, 14.0)], 0, [(11.0, 16.0), (12.0, 14.0)], 1))",[0. 0. 0.]
12,"(([(11.0, 16.0), (12.0, 14.0)], 0, [(11.0, 16.0), (12.0, 14.0)], 1), ([(8.0, 12.0), (13.0, 18.0)], 1, [(8.0, 12.0), (13.0, 18.0)], 1))",[-1.79304019 -1.33664495 -1.64044607]
