,state,Actions Rewards
27,"(([(19.0, 22.0), (0, 4.0)], 4, [(19.0, 22.0), (3.0, 12.0)], 2), ([(5.0, 13.0), (1.0, 4.0)], 4, [(13.0, 21.0), (1.0, 4.0)], 2))",[-1.55614472 -1.55171706  0.        ]
28,"(([(1.0, 4.0), (6.0, 15.0)], 4, [(1.0, 4.0), (0, 7.0)], 1), ([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2))",[0. 0. 0.]
29,"(([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2), ([(1.0, 4.0), (6.0, 15.0)], 4, [(1.0, 4.0), (0, 7.0)], 1))",[ 0.          0.         -1.49138793]
30,"(([(3.0, 12.0), (19.0, 22.0)], 4, [(0, 4.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (20.0, 24)], 4, [(1.0, 4.0), (12.0, 20.0)], 3))",[0. 0. 0.]
31,"(([(1.0, 4.0), (20.0, 24)], 4, [(1.0, 4.0), (12.0, 20.0)], 3), ([(3.0, 12.0), (19.0, 22.0)], 4, [(0, 4.0), (19.0, 22.0)], 1))",[ 0.         -1.48229862  0.        ]
32,"(([(1.0, 4.0), (1.0, 10.0)], 4, [(1.0, 4.0), (0, 2.0)], 3), ([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2))",[0. 0. 0.]
33,"(([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2), ([(1.0, 4.0), (1.0, 10.0)], 4, [(1.0, 4.0), (0, 2.0)], 3))",[-1.49384407  0.          0.        ]
34,"(([(3.0, 12.0), (1.0, 4.0)], 4, [(11.0, 20.0), (1.0, 4.0)], 2), ([(19.0, 22.0), (0, 3.0)], 4, [(19.0, 22.0), (3.0, 11.0)], 1))",[ 0.         -0.03915947  0.        ]
35,"(([(19.0, 22.0), (0, 3.0)], 4, [(19.0, 22.0), (3.0, 11.0)], 1), ([(3.0, 12.0), (1.0, 4.0)], 4, [(11.0, 20.0), (1.0, 4.0)], 2))",[ 0.          0.         -1.54537348]
36,"(([(19.0, 22.0), (13.0, 21.0)], 4, [(19.0, 22.0), (21.0, 24)], 1), ([(23.0, 24), (19.0, 22.0)], 4, [(15.0, 24), (19.0, 22.0)], 2))",[0. 0. 0.]
37,"(([(23.0, 24), (19.0, 22.0)], 4, [(15.0, 24), (19.0, 22.0)], 2), ([(19.0, 22.0), (13.0, 21.0)], 4, [(19.0, 22.0), (21.0, 24)], 1))",[ 0.          0.         -1.54995248]
38,"(([(8.0, 17.0), (19.0, 22.0)], 4, [(0, 9.0), (19.0, 22.0)], 2), ([(1.0, 4.0), (20.0, 24)], 4, [(1.0, 4.0), (12.0, 21.0)], 1))",[ 0.          0.         -0.02263198]
39,"(([(1.0, 4.0), (20.0, 24)], 4, [(1.0, 4.0), (12.0, 21.0)], 1), ([(8.0, 17.0), (19.0, 22.0)], 4, [(0, 9.0), (19.0, 22.0)], 2))",[ 0.         -1.50027986  0.        ]
40,"(([(7.0, 15.0), (1.0, 4.0)], 4, [(15.0, 23.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 4.0)], 4, [(19.0, 22.0), (3.0, 12.0)], 1))",[ 0.          0.         -0.02822469]
41,"(([(19.0, 22.0), (0, 4.0)], 4, [(19.0, 22.0), (3.0, 12.0)], 1), ([(7.0, 15.0), (1.0, 4.0)], 4, [(15.0, 23.0), (1.0, 4.0)], 1))",[-1.54644666  0.          0.        ]
42,"(([(1.0, 10.0), (19.0, 22.0)], 4, [(0, 2.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (15.0, 24)], 4))",[0. 0. 0.]
43,"(([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (15.0, 24)], 4), ([(1.0, 10.0), (19.0, 22.0)], 4, [(0, 2.0), (19.0, 22.0)], 1))",[ 0.         -1.49288342  0.        ]
44,"(([(1.0, 4.0), (20.0, 24)], 0, [(1.0, 4.0), (19.0, 24)], 1), ([(11.0, 20.0), (19.0, 22.0)], 4, [(3.0, 12.0), (19.0, 22.0)], 1))",[-100.    0.    0.]
45,"(([(11.0, 20.0), (19.0, 22.0)], 4, [(3.0, 12.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (20.0, 24)], 0, [(1.0, 4.0), (19.0, 24)], 1))",[ 0.          0.         -0.01635804]
46,"(([(1.0, 4.0), (20.0, 24)], 0, [(1.0, 4.0), (19.0, 24)], 1), ([(8.0, 16.0), (19.0, 22.0)], 3, [(3.0, 11.0), (19.0, 22.0)], 1))",[   0.    0. -100.]
