,state,Actions Rewards
43,"([(5.0, 13.0), (19.0, 22.0)], 4, [(0, 5.0), (19.0, 22.0)], 1)",[-0.0927879  -0.09945547 -0.09383653]
44,"([(19.0, 22.0), (2.0, 10.0)], 4, [(19.0, 22.0), (10.0, 18.0)], 1)",[-0.5976403  -0.59619581 -0.59673045]
45,"([(19.0, 22.0), (14.0, 22.0)], 4, [(19.0, 22.0), (22.0, 24)], 1)",[0. 0. 0.]
46,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (13.0, 21.0)], 4)",[-0.62049921 -0.61779759 -0.61784667]
47,"([(1.0, 4.0), (10.0, 19.0)], 4, [(1.0, 4.0), (2.0, 11.0)], 4)",[-0.05176299 -0.08976631 -0.06902076]
48,"([(1.0, 4.0), (1.0, 10.0)], 4, [(1.0, 4.0), (0, 2.0)], 4)",[0. 0. 0.]
49,"([(19.0, 22.0), (0, 7.0)], 4, [(19.0, 22.0), (7.0, 15.0)], 1)",[-0.68042999 -0.6523111  -0.67831355]
50,"([(19.0, 22.0), (12.0, 21.0)], 4, [(19.0, 22.0), (20.0, 24)], 1)",[0. 0. 0.]
51,"([(1.0, 4.0), (10.0, 18.0)], 4, [(1.0, 4.0), (2.0, 10.0)], 1)",[-0.74233475 -0.72586492 -1.13356077]
52,"([(1.0, 4.0), (1.0, 9.0)], 4, [(1.0, 4.0), (0, 1.0)], 1)",[0. 0. 0.]
53,"([(12.0, 21.0), (19.0, 22.0)], 4, [(4.0, 13.0), (19.0, 22.0)], 1)",[-0.23180968 -0.24486593 -0.23671924]
54,"([(1.0, 10.0), (19.0, 22.0)], 4, [(0, 2.0), (19.0, 22.0)], 1)",[0. 0. 0.]
55,"([(1.0, 4.0), (16.0, 24)], 4, [(1.0, 4.0), (8.0, 16.0)], 1)",[-0.64669003 -0.64514291 -0.71364127]
56,"([(1.0, 4.0), (5.0, 13.0)], 4, [(1.0, 4.0), (0, 5.0)], 1)",[-0.0987682  -0.09370658 -0.09433034]
57,"([(10.0, 19.0), (19.0, 22.0)], 4, [(2.0, 11.0), (19.0, 22.0)], 1)",[-0.23280004 -0.22086508 -0.22839881]
58,"([(1.0, 9.0), (1.0, 4.0)], 4, [(9.0, 17.0), (1.0, 4.0)], 1)",[-0.54034897 -0.59448754 -0.60058966]
59,"([(13.0, 22.0), (1.0, 4.0)], 4, [(21.0, 24), (1.0, 4.0)], 1)",[0. 0. 0.]
60,"([(1.0, 4.0), (22.0, 24)], 4, [(1.0, 4.0), (14.0, 22.0)], 3)",[-0.77432435 -0.77780814 -0.78402252]
61,"([(1.0, 4.0), (8.0, 17.0)], 4, [(1.0, 4.0), (0, 9.0)], 3)",[-0.04360793 -0.03739839 -1.8931311 ]
62,"([(19.0, 22.0), (0, 2.0)], 4, [(19.0, 22.0), (2.0, 10.0)], 2)",[-5.60878514 -1.61109424 -6.53620446]
63,"([(19.0, 22.0), (6.0, 15.0)], 4, [(19.0, 22.0), (14.0, 23.0)], 2)",[-42.48096697  -9.21797888 -43.04702708]
64,"([(1.0, 4.0), (17.0, 24)], 4, [(1.0, 4.0), (9.0, 18.0)], 1)",[-0.72136975 -0.71925203 -0.71192007]
65,"([(17.0, 24), (19.0, 22.0)], 4, [(9.0, 17.0), (19.0, 22.0)], 1)",[-0.15206309 -0.1577171  -0.1395835 ]
66,"([(0, 6.0), (1.0, 4.0)], 4, [(5.0, 14.0), (1.0, 4.0)], 1)",[-0.71124559 -0.70989184 -0.7099569 ]
67,"([(11.0, 19.0), (1.0, 4.0)], 4, [(19.0, 24), (1.0, 4.0)], 1)",[0. 0. 0.]
68,"([(19.0, 22.0), (1.0, 10.0)], 4, [(19.0, 22.0), (9.0, 18.0)], 1)",[-0.58382856 -0.58878471 -0.58211205]
69,"([(19.0, 22.0), (12.0, 20.0)], 4, [(19.0, 22.0), (20.0, 24)], 1)",[0. 0. 0.]
70,"([(1.0, 4.0), (15.0, 24)], 4, [(1.0, 4.0), (7.0, 16.0)], 1)",[-0.65869744 -0.64365514 -0.71108436]
71,"([(1.0, 4.0), (2.0, 10.0)], 4, [(1.0, 4.0), (0, 2.0)], 1)",[0. 0. 0.]
72,"([(18.0, 24), (19.0, 22.0)], 4, [(10.0, 18.0), (19.0, 22.0)], 1)",[-0.66277917 -0.66227697 -0.66297028]
73,"([(8.0, 16.0), (19.0, 22.0)], 4, [(0, 8.0), (19.0, 22.0)], 1)",[-0.1189525  -0.11960488 -0.12319383]
74,"([(12.0, 21.0), (1.0, 4.0)], 4, [(20.0, 24), (1.0, 4.0)], 1)",[0. 0. 0.]
75,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (13.0, 22.0)], 4)",[-0.5374884  -0.53178729 -0.53921794]
76,"([(1.0, 4.0), (11.0, 19.0)], 4, [(1.0, 4.0), (3.0, 11.0)], 4)",[-0.08063253 -0.10051499 -0.08414674]
77,"([(9.0, 18.0), (19.0, 22.0)], 4, [(1.0, 10.0), (19.0, 22.0)], 2)",[-0.24655276 -0.24351928 -0.24310029]
78,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (13.0, 21.0)], 1)",[-0.86840762 -0.86472657 -0.86437007]
79,"([(1.0, 4.0), (9.0, 18.0)], 4, [(1.0, 4.0), (1.0, 10.0)], 1)",[-0.31014956 -0.3115602  -0.31395414]
80,"([(19.0, 24), (19.0, 22.0)], 4, [(11.0, 20.0), (19.0, 22.0)], 2)",[-0.76631999 -0.77157637 -0.7701779 ]
81,"([(6.0, 14.0), (19.0, 22.0)], 4, [(0, 6.0), (19.0, 22.0)], 2)",[-0.13038006 -0.13203381 -0.1324624 ]
82,"([(0, 2.0), (1.0, 4.0)], 4, [(1.0, 10.0), (1.0, 4.0)], 2)",[-3.93898075 -2.3984129  -5.41334201]
83,"([(7.0, 15.0), (1.0, 4.0)], 4, [(15.0, 23.0), (1.0, 4.0)], 2)",[-0.1707392  -0.16852599 -0.17273046]
84,"([(1.0, 4.0), (3.0, 12.0)], 4, [(1.0, 4.0), (0, 4.0)], 1)",[0. 0. 0.]
85,"([(19.0, 22.0), (7.0, 15.0)], 4, [(19.0, 22.0), (15.0, 23.0)], 1)",[-0.09916081 -0.09215459 -0.08934129]
86,"([(1.0, 4.0), (9.0, 18.0)], 4, [(1.0, 4.0), (1.0, 10.0)], 3)",[-0.05931007 -0.05006865 -0.05338626]
87,"([(1.0, 4.0), (19.0, 24)], 4, [(1.0, 4.0), (11.0, 19.0)], 3)",[-0.70644266 -0.70629386 -0.68614909]
88,"([(19.0, 22.0), (4.0, 12.0)], 4, [(19.0, 22.0), (12.0, 20.0)], 1)",[-0.76338273 -0.41933132 -0.26581931]
89,"([(1.0, 4.0), (6.0, 15.0)], 4, [(1.0, 4.0), (0, 7.0)], 3)",[-0.04305647 -0.04759971 -0.04351338]
90,"([(1.0, 4.0), (19.0, 24)], 4, [(1.0, 4.0), (11.0, 19.0)], 1)",[-0.80597876 -0.95144033 -0.95127936]
91,"([(1.0, 4.0), (8.0, 17.0)], 4, [(1.0, 4.0), (0, 9.0)], 1)",[-0.21314046 -0.21645479 -0.21719795]
92,"([(0, 6.0), (1.0, 4.0)], 4, [(6.0, 14.0), (1.0, 4.0)], 1)",[-0.67888726 -0.67619376 -0.67775353]
93,"([(10.0, 18.0), (1.0, 4.0)], 4, [(18.0, 24), (1.0, 4.0)], 1)",[-0.08574526 -0.07983643 -0.08057846]
94,"([(1.0, 4.0), (24.0, 24)], 4, [(1.0, 4.0), (16.0, 24)], 4)",[-0.36483818 -0.34613196 -0.35216928]
95,"([(13.0, 22.0), (19.0, 22.0)], 4, [(5.0, 14.0), (19.0, 22.0)], 1)",[-0.3844954  -0.38627265 -0.39724708]
96,"([(19.0, 22.0), (9.0, 17.0)], 4, [(19.0, 22.0), (17.0, 24)], 1)",[-0.08213045 -0.08388062 -0.07802435]
97,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (13.0, 21.0)], 3)",[-0.69113337 -0.69054823 -0.68052162]
98,"([(1.0, 4.0), (7.0, 16.0)], 4, [(1.0, 4.0), (0, 8.0)], 3)",[-0.03648315 -0.04401547 -0.0452659 ]
99,"([(1.0, 4.0), (20.0, 24)], 4, [(1.0, 4.0), (12.0, 21.0)], 3)",[-0.69821284 -0.69796849 -0.69804114]
100,"([(2.0, 11.0), (1.0, 4.0)], 4, [(10.0, 19.0), (1.0, 4.0)], 1)",[-0.12673421 -0.11878619 -0.11282521]
101,"([(7.0, 16.0), (19.0, 22.0)], 4, [(0, 8.0), (19.0, 22.0)], 1)",[-0.11106216 -0.10843668 -0.10988229]
102,"([(1.0, 4.0), (13.0, 22.0)], 4, [(1.0, 4.0), (5.0, 14.0)], 1)",[-0.60831281 -0.60476401 -0.6053506 ]
103,"([(3.0, 12.0), (1.0, 4.0)], 4, [(11.0, 20.0), (1.0, 4.0)], 1)",[-0.05300593 -0.06067939 -0.04916301]
104,"([(1.0, 4.0), (6.0, 15.0)], 4, [(1.0, 4.0), (0, 7.0)], 1)",[-0.12840255 -0.13217245 -0.12656412]
105,"([(1.0, 4.0), (18.0, 24)], 4, [(1.0, 4.0), (10.0, 18.0)], 1)",[-0.76093057 -0.78507566 -0.78591974]
106,"([(1.0, 4.0), (4.0, 12.0)], 4, [(1.0, 4.0), (0, 4.0)], 1)",[0. 0. 0.]
107,"([(23.0, 24), (19.0, 22.0)], 4, [(15.0, 23.0), (19.0, 22.0)], 2)",[-0.80853401 -0.81105592 -0.78166911]
108,"([(11.0, 20.0), (19.0, 22.0)], 4, [(3.0, 12.0), (19.0, 22.0)], 2)",[-0.31422571 -0.31526899 -0.32430642]
109,"([(19.0, 22.0), (1.0, 9.0)], 4, [(19.0, 22.0), (9.0, 17.0)], 1)",[-0.64017294 -0.59763196 -0.63262483]
110,"([(1.0, 4.0), (18.0, 24)], 4, [(1.0, 4.0), (10.0, 18.0)], 3)",[-0.7347586  -0.73274056 -0.7320573 ]
111,"([(1.0, 4.0), (4.0, 13.0)], 4, [(1.0, 4.0), (0, 5.0)], 3)",[-0.01112948  0.          0.        ]
112,"([(3.0, 11.0), (1.0, 4.0)], 4, [(11.0, 19.0), (1.0, 4.0)], 1)",[-0.0971805  -0.09920791 -0.11505088]
113,"([(19.0, 22.0), (13.0, 22.0)], 4, [(19.0, 22.0), (21.0, 24)], 1)",[0. 0. 0.]
114,"([(14.0, 23.0), (1.0, 4.0)], 4, [(22.0, 24), (1.0, 4.0)], 1)",[0. 0. 0.]
115,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (13.0, 22.0)], 3)",[-0.74082857 -0.73956894 -0.73892023]
116,"([(1.0, 4.0), (8.0, 16.0)], 4, [(1.0, 4.0), (0, 8.0)], 3)",[-0.0572346  -0.06048398 -0.06412379]
117,"([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (15.0, 23.0)], 3)",[-0.78089646 -0.82759879 -0.83161511]
118,"([(1.0, 4.0), (11.0, 20.0)], 4, [(1.0, 4.0), (3.0, 12.0)], 3)",[-0.48996355 -0.49044538 -0.47704018]
119,"([(19.0, 22.0), (0, 3.0)], 4, [(19.0, 22.0), (3.0, 11.0)], 1)",[-0.68040381 -0.70516993 -0.70033914]
120,"([(19.0, 22.0), (6.0, 14.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 1)",[-2.74105722 -2.51613664 -0.18587835]
121,"([(23.0, 24), (19.0, 22.0)], 4, [(15.0, 24), (19.0, 22.0)], 2)",[-0.77090902 -0.7598685  -0.77080165]
122,"([(16.0, 24), (19.0, 22.0)], 4, [(8.0, 16.0), (19.0, 22.0)], 2)",[-0.5095059  -0.50887787 -0.50927252]
123,"([(10.0, 19.0), (19.0, 22.0)], 4, [(2.0, 11.0), (19.0, 22.0)], 2)",[-0.27404116 -0.27652029 -0.27359169]
124,"([(5.0, 14.0), (19.0, 22.0)], 4, [(0, 6.0), (19.0, 22.0)], 2)",[-0.07552562 -0.07913641 -0.07681866]
125,"([(0, -1.0), (1.0, 4.0)], 4, [(0, 7.0), (1.0, 4.0)], 2)",[-0.89310707 -2.40963554 -2.84268555]
126,"([(4.0, 12.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 2)",[-0.1553903  -0.15602398 -0.16291281]
127,"([(1.0, 4.0), (14.0, 23.0)], 4, [(1.0, 4.0), (6.0, 15.0)], 1)",[-0.60499497 -0.60463687 -0.60598721]
128,"([(19.0, 22.0), (0, -1.0)], 4, [(19.0, 22.0), (0, 7.0)], 2)",[-2.93393452 -1.92697515 -3.26157776]
129,"([(19.0, 22.0), (0, 8.0)], 4, [(19.0, 22.0), (7.0, 16.0)], 2)",[-0.5606517  -0.64555616 -0.84161712]
130,"([(19.0, 22.0), (8.0, 17.0)], 4, [(19.0, 22.0), (16.0, 24)], 2)",[-0.13649262 -0.13663915 -0.13458333]
131,"([(24.0, 24), (19.0, 22.0)], 4, [(16.0, 24), (19.0, 22.0)], 1)",[-0.56956377 -0.57561787 -0.58306272]
132,"([(11.0, 20.0), (19.0, 22.0)], 4, [(3.0, 12.0), (19.0, 22.0)], 1)",[-0.07749784 -0.06915818 -0.06448242]
133,"([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (15.0, 23.0)], 1)",[-0.70125652 -0.69588229 -0.69395739]
134,"([(12.0, 20.0), (19.0, 22.0)], 4, [(4.0, 12.0), (19.0, 22.0)], 2)",[-0.45119358 -0.44837748 -0.45016847]
135,"([(1.0, 4.0), (18.0, 24)], 4, [(1.0, 4.0), (10.0, 18.0)], 2)",[-0.55721883 -0.55368668 -0.55161426]
136,"([(1.0, 4.0), (10.0, 19.0)], 4, [(1.0, 4.0), (2.0, 11.0)], 2)",[-0.30212059 -0.30541323 -0.29870024]
137,"([(2.0, 11.0), (19.0, 22.0)], 4, [(0, 3.0), (19.0, 22.0)], 2)",[0. 0. 0.]
138,"([(1.0, 4.0), (4.0, 12.0)], 4, [(1.0, 4.0), (0, 4.0)], 2)",[0. 0. 0.]
139,"([(0, 0.0), (1.0, 4.0)], 1, [(0, 2.0), (1.0, 4.0)], 1)",[ -0.89515935 -99.85158059  -0.87819624]
140,"([(0, 1.0), (1.0, 4.0)], 2, [(0, 3.0), (1.0, 4.0)], 1)",[-0.20792148 -0.21429624 -0.2028328 ]
141,"([(0, 3.0), (1.0, 4.0)], 2, [(0, 5.0), (1.0, 4.0)], 1)",[-0.56526748 -0.56082385 -0.56094873]
142,"([(0, 6.0), (1.0, 4.0)], 3, [(3.0, 11.0), (1.0, 4.0)], 1)",[-0.06743062 -0.07581071 -0.05515768]
143,"([(1.0, 9.0), (1.0, 4.0)], 3, [(6.0, 14.0), (1.0, 4.0)], 1)",[-0.77820698 -0.78174197 -0.94931039]
144,"([(4.0, 12.0), (1.0, 4.0)], 3, [(9.0, 17.0), (1.0, 4.0)], 1)",[ -4.37003565 -17.78837218  -9.01511388]
145,"([(1.0, 4.0), (16.0, 24)], 4, [(1.0, 4.0), (8.0, 17.0)], 1)",[-0.64489943 -0.68631706 -0.66385285]
146,"([(12.0, 20.0), (1.0, 4.0)], 4, [(20.0, 24), (1.0, 4.0)], 1)",[0. 0. 0.]
147,"([(18.0, 24), (19.0, 22.0)], 4, [(10.0, 19.0), (19.0, 22.0)], 1)",[-0.69355838 -0.68901992 -0.68294626]
148,"([(19.0, 22.0), (0, 2.0)], 4, [(19.0, 22.0), (1.0, 10.0)], 1)",[-0.04017635 -0.02951167 -0.0183971 ]
149,"([(0, -1.0), (1.0, 4.0)], 4, [(0, 7.0), (1.0, 4.0)], 1)",[-0.05306866 -0.06656661 -0.04483652]
150,"([(0, 5.0), (1.0, 4.0)], 4, [(4.0, 13.0), (1.0, 4.0)], 1)",[-0.71571988 -0.7160748  -0.71743751]
151,"([(19.0, 22.0), (6.0, 15.0)], 4, [(19.0, 22.0), (14.0, 23.0)], 1)",[-0.05608195 -0.05719018 -0.06098534]
152,"([(7.0, 15.0), (1.0, 4.0)], 4, [(15.0, 23.0), (1.0, 4.0)], 1)",[-0.08707614 -0.0861576  -0.09167541]
153,"([(1.0, 4.0), (12.0, 21.0)], 4, [(1.0, 4.0), (4.0, 13.0)], 1)",[-0.35038903 -0.35627034 -0.36330579]
154,"([(1.0, 4.0), (1.0, 10.0)], 4, [(1.0, 4.0), (0, 2.0)], 1)",[0. 0. 0.]
155,"([(3.0, 11.0), (19.0, 22.0)], 4, [(0, 3.0), (19.0, 22.0)], 1)",[0. 0. 0.]
156,"([(3.0, 12.0), (1.0, 4.0)], 4, [(11.0, 20.0), (1.0, 4.0)], 2)",[-0.45089917 -0.44189799 -0.45851793]
157,"([(1.0, 4.0), (1.0, 9.0)], 4, [(1.0, 4.0), (0, 1.0)], 3)",[0. 0. 0.]
158,"([(19.0, 22.0), (0, 6.0)], 4, [(19.0, 22.0), (6.0, 14.0)], 1)",[-0.2046668  -0.19764833 -0.19768477]
