,Episode,Reward
159,160,-722.8118415714421
160,161,-717.7195264688086
161,162,-514.4392390321083
162,163,-542.8160696135437
163,164,-824.7112322843082
164,165,-1706.9157498282023
165,166,-4574.162656330316
166,167,-697.1839078256673
167,168,-4042.566268577041
168,169,-622.908761497902
169,170,-493.60141349755304
170,171,-2969.191142487859
171,172,-657.8834980084185
172,173,-2020.009055643552
173,174,-605.8689859656885
174,175,-528.3471165760591
175,176,-497.0435734424405
176,177,-510.30080163102804
177,178,-314.0662164391119
178,179,-905.1148990405172
179,180,-674.1579949732758
180,181,-225.27609771386494
181,182,-322.320229315411
182,183,-265.87576533004284
183,184,-711.6152688513254
184,185,-519.8444327852353
185,186,-1032.8637853529467
186,187,-1734.8130863937035
187,188,-884.137495963038
188,189,-669.89944516618
189,190,-526.9581132216285
190,191,-441.96427683982256
191,192,-1113.8441430242435
192,193,-611.8424834286949
193,194,-5181.3031253011495
194,195,-414.38089293833957
195,196,-455.8041672139711
196,197,-510.9448303194347
197,198,-1318.7665569263497
198,199,-425.1334406465271
199,200,-421.26214813102604
200,201,-513.6763608491707
201,202,-2149.005280912317
202,203,-1667.260069371792
203,204,-1027.126063452882
204,205,-280.7788215711066
205,206,-66.77920514970778
206,207,-2125.4136030102704
207,208,-1224.3144407075793
208,209,-1298.146977294107
209,210,-220.9708356816447
210,211,-828.1833187985136
211,212,-884.5205498237628
212,213,-1573.0559727628695
213,214,-1469.0285083306383
214,215,-546.1225579933077
215,216,-551.6110586578171
216,217,-510.0085509669773
217,218,-656.9063020826213
218,219,-2887.9256409366176
219,220,-1139.0582623610999
220,221,-1462.1218704841197
221,222,-1198.0828214713
222,223,-292.47728021280636
223,224,-870.2646192182929
224,225,-459.2792252191994
225,226,-608.1596526180549
226,227,-1187.9345557525064
227,228,-2542.741719379726
228,229,-134.22890368801407
229,230,-227.58961710138985
230,231,-441.17226445443805
231,232,-1782.3172363370381
232,233,-787.808623242046
233,234,-1203.4181389993742
234,235,-1205.2674903619225
235,236,-1470.716806333041
236,237,-681.911431249068
237,238,-1205.9218516212661
238,239,-1237.9776386533695
239,240,-2262.0187092806837
240,241,-591.9721082405765
241,242,-682.0273298742342
242,243,-3244.8162269533655
243,244,-1620.898480643788
244,245,-1099.49721788676
245,246,-1387.048956447245
246,247,-1100.0606094065608
247,248,-1195.290891268066
248,249,-955.5616390660912
249,250,-1485.830946893936
250,251,-787.706356369167
251,252,-365.52616674364566
252,253,-864.250743968226
253,254,-1871.4032881216554
254,255,-1835.577498292318
255,256,-1561.5657284599247
256,257,-531.8170620201267
