step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,5,8.0
20.0,-0.08,8,45.0
25.0,-0.37,9,87.0
30.0,-0.42,10,135.0
35.0,-0.4800000000000001,10,185.0
40.0,-0.5,6,178.0
45.0,0.2100000000000002,7,184.0
50.0,-0.3500000000000001,8,213.0
55.0,-0.53,10,262.0
60.0,-0.5,10,312.0
65.0,-0.5299999999999998,12,367.0
70.0,-0.6000000000000005,12,427.0
75.0,-0.6000000000000005,10,462.0
80.0,-0.5699999999999994,12,520.0
85.0,-0.6000000000000005,15,584.0
90.0,-0.6899999999999995,16,650.0
95.0,-0.8900000000000006,16,722.0
100.0,-0.8099999999999996,18,807.0
105.0,-0.8999999999999995,18,897.0
110.0,-0.8999999999999995,17,964.0
115.0,-1.0300000000000011,17,1049.0
120.0,-0.8499999999999996,18,1129.0
125.0,-1.1500000000000004,21,1227.0
130.0,-1.0599999999999987,20,1324.0
135.0,-1.3399999999999999,20,1424.0
140.0,-1.0100000000000016,22,1527.0
145.0,-1.0100000000000016,20,1624.0
150.0,-1.4100000000000001,22,1734.0
155.0,-1.0999999999999979,22,1844.0
160.0,-1.120000000000001,30,1983.0
165.0,-1.4499999999999993,30,2133.0
170.0,-1.5,27,1970.0
175.0,4.25,19,1536.0
180.0,3.959999999999999,13,1368.0
185.0,3.959999999999999,18,1438.0
190.0,-0.9600000000000009,24,1544.0
195.0,-1.0599999999999987,30,1684.0
200.0,-1.4000000000000004,32,1844.0
205.0,-1.6000000000000014,34,2008.0
210.0,-1.639999999999997,34,2178.0
215.0,-1.7000000000000028,35,2350.0
220.0,-1.7199999999999989,31,2373.0
225.0,0.41000000000000014,24,2285.0
230.0,0.5300000000000011,28,2292.0
235.0,-1.5700000000000003,35,2448.0
240.0,-1.7600000000000016,36,2625.0
245.0,-1.8399999999999999,37,2810.0
250.0,-1.8499999999999979,37,2995.0
255.0,-1.8499999999999979,31,3039.0
260.0,-0.8500000000000014,28,3072.0
265.0,-0.5700000000000003,33,3208.0
270.0,-2.1099999999999994,36,3383.0
275.0,-1.7999999999999972,36,3563.0
280.0,-1.7999999999999972,32,3678.0
285.0,-1.8700000000000045,34,3844.0
290.0,-1.6599999999999966,33,3998.0
295.0,-2.200000000000003,35,4165.0
300.0,-1.7100000000000009,36,4335.0
305.0,-2.5,39,4524.0
310.0,-1.9499999999999957,39,4719.0
315.0,-1.980000000000004,41,4919.0
320.0,-1.980000000000004,37,5074.0
325.0,-2.3299999999999983,37,5259.0
330.0,-1.8599999999999994,39,5451.0
335.0,-1.9500000000000028,41,5645.0
340.0,-2.759999999999998,41,5850.0
345.0,-2.0600000000000023,42,6058.0
350.0,-2.0600000000000023,42,6261.0
355.0,-2.8699999999999974,43,6474.0
360.0,-2.1299999999999955,41,6670.0
365.0,-2.780000000000001,45,6881.0
370.0,-2.1899999999999977,47,7112.0
375.0,-2.3500000000000085,48,7331.0
380.0,-3.1099999999999994,47,7564.0
385.0,-2.3499999999999943,47,7799.0
390.0,-2.3499999999999943,47,8034.0
395.0,-3.2900000000000063,48,8270.0
400.0,-2.3700000000000045,49,8508.0
405.0,-3.3699999999999903,49,8753.0
410.0,-2.450000000000003,50,8999.0
415.0,-2.450000000000003,42,7783.0
420.0,11.170000000000002,42,7111.0
425.0,6.719999999999999,44,7312.0
430.0,-2.9099999999999966,45,7537.0
435.0,-2.25,45,7715.0
440.0,-2.2700000000000102,42,7896.0
445.0,-2.039999999999992,43,8101.0
450.0,-2.039999999999992,43,8302.0
455.0,-2.8700000000000045,43,8517.0
460.0,-2.1499999999999915,43,8732.0
465.0,-3.010000000000005,43,8947.0
470.0,-2.1700000000000017,45,9168.0
475.0,-2.1700000000000017,43,9377.0
480.0,-2.989999999999995,43,9592.0
485.0,-2.1500000000000057,40,9531.0
490.0,1.1800000000000068,41,9561.0
495.0,-1.710000000000008,41,9746.0
500.0,-2.6099999999999994,42,9948.0
505.0,-2.0999999999999943,42,10158.0
510.0,-2.0999999999999943,38,10314.0
515.0,-2.260000000000005,38,10492.0
520.0,-1.8799999999999955,42,10688.0
525.0,-2.0,42,10898.0
530.0,-2.1000000000000085,44,11112.0
535.0,-2.1599999999999966,44,11332.0
540.0,-2.200000000000003,40,11508.0
545.0,-2.299999999999997,40,11686.0
550.0,-2.009999999999991,41,11889.0
555.0,-2.009999999999991,40,12086.0
560.0,-2.7900000000000063,42,12295.0
565.0,-2.0900000000000034,37,11557.0
570.0,16.019999999999996,30,9917.0
575.0,15.860000000000014,18,9161.0
580.0,-1.3100000000000023,18,9256.0
585.0,-0.9000000000000057,20,9348.0
590.0,-1.1799999999999926,30,9476.0
595.0,-1.6300000000000097,38,9647.0
600.0,-1.9799999999999898,43,9850.0
605.0,-2.190000000000012,44,10070.0
610.0,-2.1999999999999886,44,10290.0
615.0,-2.2700000000000102,46,10519.0
620.0,-2.319999999999993,48,10753.0
625.0,-2.5,52,11007.0
630.0,-2.6000000000000085,52,11267.0
635.0,-2.6099999999999994,54,11530.0
640.0,-2.6999999999999886,54,11800.0
645.0,-2.700000000000003,54,12070.0
650.0,-2.7700000000000102,56,12349.0
655.0,-2.8599999999999994,58,12637.0
660.0,-2.9599999999999937,61,12936.0
665.0,-3.0600000000000023,62,13243.0
670.0,-3.0600000000000023,56,13113.0
675.0,0.14000000000001478,48,13023.0
