step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,5,6.0
20.0,-0.06,8,44.0
25.0,-0.38,5,58.0
30.0,-0.12999999999999995,8,80.0
35.0,-0.39,7,80.0
40.0,0.10999999999999999,6,91.0
45.0,-0.30999999999999994,8,124.0
50.0,-0.30999999999999994,2,94.0
55.0,0.29999999999999993,8,105.0
60.0,-0.2699999999999999,6,126.0
65.0,-0.31000000000000005,6,156.0
70.0,-0.3500000000000001,8,195.0
75.0,-0.3999999999999999,8,235.0
80.0,-0.3999999999999999,6,246.0
85.0,-0.27,6,276.0
90.0,-0.2999999999999998,13,336.0
95.0,-0.6000000000000001,12,385.0
100.0,-0.73,14,451.0
105.0,-0.7000000000000002,14,521.0
110.0,-0.7000000000000002,14,476.0
115.0,1.4500000000000002,9,364.0
120.0,0.45999999999999996,11,369.0
125.0,0.45999999999999996,7,350.0
130.0,0.14000000000000012,10,370.0
135.0,-0.3599999999999999,12,424.0
140.0,-0.5600000000000005,8,435.0
145.0,0.040000000000000036,7,438.0
150.0,-0.27999999999999936,9,477.0
155.0,-0.27999999999999936,7,508.0
160.0,-0.4800000000000004,14,557.0
165.0,-0.4900000000000002,15,631.0
170.0,-0.7399999999999993,13,683.0
175.0,-0.7800000000000002,13,748.0
180.0,-0.6699999999999999,13,813.0
185.0,-0.9299999999999997,15,884.0
190.0,-0.75,15,959.0
195.0,-0.75,16,1014.0
200.0,-0.870000000000001,17,1099.0
205.0,-0.8599999999999994,17,1184.0
210.0,-1.1799999999999997,19,1273.0
215.0,-0.9500000000000011,19,1368.0
220.0,-0.9500000000000011,19,1441.0
225.0,-1.1099999999999994,19,1536.0
230.0,-0.9499999999999993,27,1645.0
235.0,-1.0899999999999999,23,1744.0
240.0,-1.370000000000001,23,1851.0
245.0,-1.1499999999999986,25,1971.0
250.0,-1.240000000000002,23,2081.0
255.0,-1.5399999999999991,24,2199.0
260.0,-1.1999999999999993,24,2319.0
265.0,-1.1999999999999993,26,2435.0
270.0,-1.6799999999999997,29,2579.0
275.0,-1.4499999999999993,29,2724.0
280.0,-1.4500000000000028,31,2874.0
285.0,-1.5199999999999996,31,3029.0
290.0,-1.5500000000000007,29,3137.0
295.0,-1.389999999999997,29,3253.0
300.0,-1.4300000000000033,35,3410.0
305.0,-1.4300000000000033,33,3557.0
310.0,-2.1499999999999986,33,3722.0
315.0,-1.6499999999999986,34,3889.0
320.0,-1.6700000000000017,35,4063.0
325.0,-1.740000000000002,35,4238.0
330.0,-1.75,37,4419.0
335.0,-1.8099999999999952,40,4613.0
340.0,-1.9400000000000048,43,4826.0
345.0,-2.1299999999999955,38,4975.0
350.0,-1.9299999999999997,38,5117.0
355.0,-1.740000000000002,38,5299.0
360.0,-2.509999999999998,37,5481.0
365.0,-1.9000000000000057,39,5673.0
370.0,-2.009999999999998,42,5877.0
375.0,-2.1499999999999986,44,6094.0
380.0,-2.299999999999997,47,6327.0
385.0,-2.3599999999999994,48,6564.0
390.0,-2.4399999999999977,49,6809.0
395.0,-2.450000000000003,49,7054.0
400.0,-2.450000000000003,43,7198.0
405.0,-2.1400000000000006,48,7366.0
410.0,-1.9500000000000028,48,7601.0
415.0,-3.3100000000000023,48,7841.0
420.0,-2.3999999999999915,48,8081.0
425.0,-2.430000000000007,50,8328.0
430.0,-2.5,50,8578.0
435.0,-2.5,47,8775.0
440.0,-2.969999999999999,51,9025.0
445.0,-2.5,47,8641.0
450.0,8.909999999999997,41,7439.0
455.0,9.040000000000006,31,6794.0
460.0,3.4200000000000017,25,6913.0
465.0,-1.2800000000000011,29,7045.0
470.0,-1.5700000000000074,36,7209.0
475.0,-1.9699999999999989,44,7414.0
480.0,-2.3400000000000034,50,7654.0
485.0,-2.3400000000000034,45,6888.0
490.0,6.730000000000004,38,6214.0
495.0,6.800000000000004,29,6194.0
500.0,-0.28000000000000114,30,6339.0
505.0,-1.6000000000000014,39,6515.0
510.0,-2.0,46,6729.0
515.0,-2.3400000000000034,55,6979.0
520.0,-2.7299999999999898,56,7258.0
525.0,-2.8000000000000114,56,7538.0
530.0,-2.8000000000000114,49,7500.0
535.0,-0.7399999999999949,44,7513.0
540.0,-0.12999999999999545,43,7638.0
545.0,-2.1500000000000057,49,7873.0
550.0,-2.450000000000003,53,8129.0
555.0,-2.6400000000000006,56,8403.0
560.0,-2.780000000000001,56,8683.0
565.0,-2.799999999999997,56,8863.0
570.0,-1.9099999999999966,47,9033.0
575.0,-1.3299999999999983,48,9153.0
580.0,-1.3299999999999983,48,9374.0
585.0,-3.0400000000000063,54,9633.0
590.0,-2.6599999999999966,55,9341.0
595.0,6.980000000000004,47,8588.0
600.0,7.079999999999998,41,8131.0
605.0,7.079999999999998,34,8286.0
610.0,-0.030000000000001137,37,8459.0
615.0,-1.730000000000004,38,8235.0
620.0,5.299999999999997,37,7693.0
625.0,4.690000000000012,36,7422.0
630.0,-1.0,36,7596.0
635.0,-1.9200000000000017,44,7796.0
640.0,-2.3299999999999983,51,8036.0
645.0,-2.6099999999999994,53,8299.0
650.0,-2.710000000000008,55,8572.0
655.0,-2.75,55,8847.0
660.0,-2.9399999999999977,63,9149.0
665.0,-3.1500000000000057,63,9464.0
670.0,-3.1700000000000017,65,9783.0
675.0,-3.1700000000000017,58,9692.0
680.0,-0.30999999999998806,50,9620.0
