step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,6,8.0,8.0
20.0,-0.08,6,34.0,34.0
25.0,-0.38,6,64.0,64.0
30.0,-0.33,6,71.0,71.0
35.0,0.22000000000000008,4,61.0,61.0
40.0,-0.28,8,93.0,93.0
45.0,-0.28,8,124.0,124.0
50.0,-0.4700000000000001,8,164.0,164.0
55.0,-0.4099999999999999,11,215.0,215.0
60.0,-0.5499999999999998,10,211.0,211.0
65.0,0.4299999999999997,8,168.0,168.0
70.0,0.020000000000000018,8,199.0,199.0
75.0,-0.41000000000000014,10,244.0,244.0
80.0,-0.5,10,294.0,294.0
85.0,-0.5,11,345.0,345.0
90.0,-0.5,13,337.0,337.0
95.0,-0.1299999999999999,13,397.0,397.0
100.0,-0.6000000000000001,9,363.0,363.0
105.0,1.0900000000000003,7,281.0,281.0
110.0,0.16999999999999993,9,298.0,298.0
115.0,-0.6299999999999999,9,343.0,343.0
120.0,-0.5,11,395.0,395.0
125.0,-0.5,8,360.0,360.0
130.0,0.2999999999999998,9,358.0,358.0
135.0,-0.1299999999999999,11,408.0,408.0
140.0,-0.5200000000000005,11,463.0,463.0
145.0,-0.5499999999999998,8,480.0,480.0
150.0,-0.20999999999999996,10,515.0,515.0
155.0,-0.5,10,565.0,565.0
160.0,-0.5,14,604.0,604.0
165.0,-0.5899999999999999,16,680.0,680.0
170.0,-0.7599999999999998,10,657.0,657.0
175.0,0.8999999999999995,11,602.0,602.0
180.0,-0.15999999999999925,11,631.0,631.0
185.0,-0.6900000000000004,12,687.0,687.0
190.0,-0.5999999999999996,12,747.0,747.0
195.0,-0.5999999999999996,8,686.0,686.0
200.0,0.40999999999999925,12,706.0,706.0
205.0,-0.23999999999999932,8,742.0,742.0
210.0,-0.39000000000000057,11,778.0,778.0
215.0,-0.5600000000000005,12,837.0,837.0
220.0,-0.5600000000000005,10,840.0,840.0
225.0,-0.2699999999999996,10,890.0,890.0
230.0,-0.5,12,944.0,944.0
235.0,-0.5399999999999991,12,963.0,963.0
240.0,-0.120000000000001,12,986.0,986.0
245.0,-0.5599999999999987,14,1054.0,1054.0
250.0,-0.7000000000000011,13,1085.0,1085.0
255.0,-0.14000000000000057,13,1109.0,1109.0
260.0,-0.6899999999999995,14,1179.0,1179.0
265.0,-0.6899999999999995,11,1176.0,1176.0
270.0,-0.23000000000000043,16,1244.0,1244.0
275.0,-0.7199999999999989,16,1324.0,1324.0
280.0,-0.8000000000000007,14,1358.0,1358.0
285.0,-0.28999999999999915,14,1390.0,1390.0
290.0,-0.6300000000000008,14,1460.0,1460.0
295.0,-0.6300000000000008,8,545.0,545.0
300.0,8.870000000000001,8,186.0,186.0
305.0,3.59,10,200.0,200.0
310.0,-0.11999999999999988,10,224.0,224.0
315.0,-0.45999999999999996,10,178.0,178.0
320.0,1.38,4,110.0,110.0
325.0,0.41000000000000003,6,71.0,71.0
330.0,0.41000000000000003,6,96.0,96.0
335.0,-0.37,6,126.0,126.0
340.0,-0.31000000000000005,9,166.0,166.0
345.0,-0.41999999999999993,12,221.0,221.0
350.0,-0.5800000000000001,14,286.0,286.0
355.0,-0.6699999999999999,14,356.0,356.0
360.0,-0.7000000000000002,15,427.0,427.0
365.0,-0.7199999999999998,16,505.0,505.0
370.0,-0.79,17,586.0,586.0
375.0,-0.8300000000000001,17,533.0,533.0
380.0,1.4000000000000004,12,393.0,393.0
385.0,1.4599999999999995,13,314.0,314.0
390.0,1.4599999999999995,13,352.0,352.0
