step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,4,8.0,8.0
20.0,-0.08,4,27.0,27.0
25.0,-0.20999999999999996,7,44.0,44.0
30.0,-0.31,6,52.0,52.0
35.0,-0.17000000000000004,7,84.0,84.0
40.0,-0.43999999999999995,10,131.0,131.0
45.0,-0.43999999999999995,6,80.0,80.0
50.0,0.35,6,97.0,97.0
55.0,-0.19000000000000006,11,145.0,145.0
60.0,-0.51,8,130.0,130.0
65.0,0.6200000000000001,6,71.0,71.0
70.0,0.16999999999999993,7,90.0,90.0
75.0,0.16999999999999993,6,106.0,106.0
80.0,-0.29000000000000004,8,146.0,146.0
85.0,-0.3999999999999999,5,154.0,154.0
90.0,-0.10000000000000009,12,192.0,192.0
95.0,-0.6000000000000001,10,162.0,162.0
100.0,1.1,7,113.0,113.0
105.0,0.1100000000000001,7,102.0,102.0
110.0,0.1100000000000001,8,98.0,98.0
115.0,-0.1200000000000001,9,143.0,143.0
120.0,-0.44999999999999996,9,159.0,159.0
125.0,-0.18999999999999995,12,191.0,191.0
130.0,-0.56,12,251.0,251.0
135.0,-0.56,4,129.0,129.0
140.0,0.98,6,82.0,82.0
145.0,0.4700000000000001,6,106.0,106.0
150.0,-0.2400000000000001,4,81.0,81.0
155.0,0.67,4,51.0,51.0
160.0,-0.19999999999999996,8,39.0,39.0
165.0,0.24,5,36.0,36.0
170.0,-0.18000000000000005,6,59.0,59.0
175.0,-0.30999999999999994,7,91.0,91.0
180.0,-0.30999999999999994,4,65.0,65.0
185.0,0.14,5,90.0,90.0
190.0,-0.25,3,95.0,95.0
195.0,-0.07000000000000006,5,111.0,111.0
200.0,-0.33000000000000007,9,153.0,153.0
205.0,-0.33000000000000007,7,176.0,176.0
210.0,-0.4099999999999999,7,211.0,211.0
215.0,-0.34999999999999987,4,174.0,174.0
220.0,0.6499999999999999,7,147.0,147.0
225.0,-0.16000000000000014,6,159.0,159.0
230.0,-0.04999999999999982,7,174.0,174.0
235.0,-0.4700000000000002,12,226.0,226.0
240.0,-0.4700000000000002,9,222.0,222.0
245.0,-0.16999999999999993,10,269.0,269.0
250.0,-0.48,8,300.0,300.0
255.0,-0.4500000000000002,10,344.0,344.0
260.0,-0.5,10,394.0,394.0
265.0,-0.5,11,446.0,446.0
270.0,-0.5,12,474.0,474.0
275.0,-0.5,14,540.0,540.0
280.0,-0.6600000000000001,8,505.0,505.0
285.0,1.1400000000000006,8,410.0,410.0
290.0,0.1299999999999999,6,401.0,401.0
295.0,0.040000000000000036,6,415.0,415.0
300.0,-0.29000000000000004,7,445.0,445.0
305.0,-0.46999999999999975,12,497.0,497.0
310.0,-0.6699999999999999,14,566.0,566.0
315.0,-0.6699999999999999,13,603.0,603.0
320.0,-0.5700000000000003,13,661.0,661.0
325.0,-0.6500000000000004,13,717.0,717.0
330.0,-0.8399999999999999,14,786.0,786.0
335.0,-0.6999999999999993,14,856.0,856.0
340.0,-0.6999999999999993,8,748.0,748.0
345.0,0.7999999999999989,11,724.0,724.0
350.0,0.2400000000000002,10,758.0,758.0
355.0,-0.41000000000000014,12,800.0,800.0
360.0,-0.6099999999999994,12,835.0,835.0
365.0,-0.39000000000000057,11,876.0,876.0
370.0,-0.5499999999999989,11,931.0,931.0
375.0,-0.6500000000000004,18,1003.0,1003.0
380.0,-0.9299999999999997,19,1097.0,1097.0
385.0,-0.9500000000000011,21,1194.0,1194.0
390.0,-0.9500000000000011,13,1134.0,1134.0
