step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,4,8.0,8.0
20.0,-0.08,6,36.0,36.0
25.0,-0.39999999999999997,6,66.0,66.0
30.0,-0.31000000000000005,6,69.0,69.0
35.0,0.24,6,61.0,61.0
40.0,-0.31999999999999995,8,95.0,95.0
45.0,-0.31999999999999995,4,76.0,76.0
50.0,0.06999999999999995,6,98.0,98.0
55.0,-0.26,6,109.0,109.0
60.0,-0.1399999999999999,8,136.0,136.0
65.0,-0.40000000000000013,8,176.0,176.0
70.0,-0.40000000000000013,6,146.0,146.0
75.0,0.14000000000000012,9,180.0,180.0
80.0,-0.3400000000000001,4,179.0,179.0
85.0,0.17999999999999994,4,165.0,165.0
90.0,-0.1499999999999999,12,211.0,211.0
95.0,-0.5800000000000001,10,109.0,109.0
100.0,0.98,12,149.0,149.0
105.0,-0.5999999999999999,12,209.0,209.0
110.0,-0.5999999999999999,8,153.0,153.0
115.0,0.3599999999999999,8,167.0,167.0
120.0,-0.1399999999999999,6,146.0,146.0
125.0,0.72,8,119.0,119.0
130.0,-0.43999999999999995,10,167.0,167.0
135.0,-0.43999999999999995,4,72.0,72.0
140.0,0.75,4,47.0,47.0
145.0,0.25,2,20.0,20.0
150.0,0.41,4,18.0,18.0
155.0,-0.2,4,38.0,38.0
160.0,-0.37,9,72.0,72.0
165.0,-0.4999999999999999,12,125.0,125.0
170.0,-0.4999999999999999,12,166.0,166.0
175.0,-0.6500000000000001,12,226.0,226.0
180.0,-0.6100000000000001,10,220.0,220.0
185.0,0.6300000000000001,6,144.0,144.0
190.0,0.4099999999999999,6,135.0,135.0
195.0,0.4099999999999999,6,34.0,34.0
200.0,1.01,7,67.0,67.0
205.0,-0.33,4,56.0,56.0
210.0,0.24000000000000005,6,57.0,57.0
215.0,-0.25999999999999995,4,43.0,43.0
220.0,0.5399999999999999,2,3.0,3.0
225.0,0.039999999999999994,2,13.0,13.0
230.0,0.039999999999999994,0,0.0,0.0
235.0,0.09,8,28.0,28.0
240.0,-0.33999999999999997,6,50.0,50.0
245.0,-0.25,8,77.0,77.0
250.0,-0.4,9,119.0,119.0
255.0,-0.4,6,86.0,86.0
260.0,0.15000000000000002,6,110.0,110.0
265.0,-0.2400000000000001,2,87.0,87.0
270.0,0.3900000000000001,5,81.0,81.0
275.0,-0.22000000000000008,6,104.0,104.0
280.0,-0.18000000000000005,5,116.0,116.0
285.0,-0.34999999999999987,8,154.0,154.0
290.0,-0.34999999999999987,5,141.0,141.0
295.0,0.0,6,170.0,170.0
300.0,-0.30000000000000004,3,156.0,156.0
305.0,0.22999999999999998,10,172.0,172.0
310.0,-0.49,10,222.0,222.0
315.0,-0.49,7,79.0,79.0
320.0,1.23,10,129.0,129.0
325.0,-0.5,6,131.0,131.0
330.0,0.010000000000000009,8,150.0,150.0
335.0,-0.3799999999999999,6,150.0,150.0
340.0,0.1399999999999999,7,159.0,159.0
345.0,-0.4099999999999999,9,202.0,202.0
350.0,-0.4099999999999999,3,56.0,56.0
355.0,1.3399999999999999,6,34.0,34.0
360.0,0.18999999999999995,2,31.0,31.0
365.0,0.12,4,36.0,36.0
370.0,-0.19999999999999996,4,56.0,56.0
375.0,-0.19999999999999996,5,9.0,9.0
380.0,0.39,8,47.0,47.0
385.0,-0.38,5,61.0,61.0
390.0,-0.12,8,83.0,83.0
395.0,-0.4,8,86.0,86.0
400.0,0.14,6,91.0,91.0
405.0,-0.2600000000000001,6,117.0,117.0
