step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,2,4.0
20.0,-0.04,8,37.0
25.0,-0.33,8,77.0
30.0,-0.4,10,122.0
35.0,-0.44999999999999996,10,172.0
40.0,-0.5,12,231.0
45.0,-0.5900000000000001,12,291.0
50.0,-0.6000000000000001,10,282.0
55.0,0.3200000000000003,10,262.0
60.0,-0.20999999999999996,10,306.0
65.0,-0.71,12,363.0
70.0,-0.6000000000000005,12,423.0
75.0,-0.6000000000000005,10,456.0
80.0,-0.5599999999999996,12,513.0
85.0,-0.5800000000000001,14,579.0
90.0,-0.7000000000000002,16,644.0
95.0,-0.9299999999999997,16,720.0
100.0,-0.8100000000000005,17,803.0
105.0,-0.8799999999999999,18,893.0
110.0,-0.8799999999999999,17,963.0
115.0,-1.0600000000000005,17,1048.0
120.0,-0.8499999999999996,16,1123.0
125.0,-1.08,22,1222.0
130.0,-1.0999999999999996,22,1332.0
135.0,-1.0999999999999996,23,1443.0
140.0,-1.1500000000000004,24,1563.0
145.0,-1.1999999999999993,26,1685.0
150.0,-1.2600000000000016,26,1815.0
155.0,-1.3000000000000007,26,1882.0
160.0,-0.7399999999999984,27,1968.0
165.0,-1.1400000000000006,28,2083.0
170.0,-1.1400000000000006,27,2202.0
175.0,-1.7399999999999984,28,2340.0
180.0,-1.3900000000000006,29,2481.0
185.0,-1.4200000000000017,30,2630.0
190.0,-1.5,32,2782.0
195.0,-1.5399999999999991,32,2904.0
200.0,-1.5199999999999996,31,3022.0
205.0,-1.5199999999999996,32,3182.0
210.0,-1.5199999999999996,31,3325.0
215.0,-2.0700000000000003,31,3480.0
220.0,-1.5499999999999972,31,3625.0
225.0,-2.0600000000000023,34,3784.0
230.0,-1.6799999999999997,36,3943.0
235.0,-2.3699999999999974,37,4128.0
240.0,-1.8500000000000014,37,4313.0
245.0,-1.8500000000000014,31,3722.0
250.0,5.229999999999997,31,3677.0
255.0,0.45000000000000284,31,3832.0
260.0,-2.230000000000004,35,3999.0
265.0,-1.769999999999996,38,4183.0
270.0,-1.9200000000000017,39,4378.0
275.0,-1.9500000000000028,39,4573.0
280.0,-1.9500000000000028,32,4613.0
285.0,-1.1799999999999997,34,4731.0
290.0,-1.1799999999999997,34,4890.0
295.0,-2.280000000000001,39,5070.0
300.0,-1.8899999999999935,38,4695.0
305.0,8.769999999999996,33,3800.0
310.0,13.030000000000001,25,2993.0
315.0,13.030000000000001,17,3070.0
320.0,-1.1900000000000013,17,3149.0
325.0,-0.8099999999999987,20,3175.0
330.0,-0.08000000000000185,24,3185.0
335.0,-0.7300000000000004,32,3311.0
340.0,-0.7300000000000004,33,3464.0
345.0,-2.1499999999999986,34,3634.0
350.0,-1.7000000000000028,32,3782.0
355.0,-2.1199999999999974,33,3943.0
360.0,-1.6499999999999986,34,4113.0
365.0,-1.7000000000000028,34,4265.0
370.0,-2.1899999999999977,36,4436.0
375.0,-1.8100000000000023,39,4620.0
380.0,-1.8100000000000023,33,4238.0
385.0,8.060000000000002,25,2964.0
390.0,7.859999999999999,18,3060.0
395.0,-1.1499999999999986,14,3134.0
400.0,-0.8000000000000007,24,3230.0
405.0,-1.2600000000000016,32,3372.0
410.0,-1.6299999999999955,38,3548.0
415.0,-1.9500000000000028,40,3748.0
420.0,-2.0,42,3950.0
425.0,-2.0,33,3971.0
430.0,-1.0300000000000011,34,4063.0
435.0,-0.9200000000000017,34,4217.0
440.0,-2.25,38,4399.0
445.0,-1.9099999999999966,40,4599.0
450.0,-2.039999999999999,43,4812.0
455.0,-2.1499999999999986,41,4972.0
460.0,-1.8900000000000006,39,5115.0
465.0,-1.740000000000002,39,5300.0
470.0,-1.740000000000002,39,5472.0
475.0,-2.5,43,5673.0
480.0,-2.049999999999997,43,5888.0
485.0,-2.1600000000000037,45,6112.0
490.0,-2.25,45,6337.0
495.0,-2.25,42,6509.0
500.0,-2.240000000000002,43,6691.0
505.0,-2.1400000000000006,43,6906.0
510.0,-2.1400000000000006,45,7107.0
515.0,-2.8699999999999903,46,7333.0
520.0,-2.260000000000005,45,7547.0
525.0,-3.030000000000001,46,7774.0
530.0,-2.299999999999997,46,7995.0
535.0,-3.0799999999999983,45,8219.0
540.0,-2.25,45,8444.0
545.0,-2.25,45,8669.0
550.0,-3.1500000000000057,46,8895.0
555.0,-2.280000000000001,47,9130.0
560.0,-2.3499999999999943,44,8599.0
565.0,11.509999999999991,35,7406.0
570.0,11.460000000000008,29,6319.0
575.0,11.460000000000008,19,6359.0
580.0,5.209999999999994,21,6446.0
585.0,-0.8699999999999903,27,6567.0
590.0,-1.210000000000008,39,6738.0
595.0,-1.7099999999999937,43,6945.0
600.0,-2.0700000000000074,44,7162.0
605.0,-2.1700000000000017,45,7387.0
610.0,-2.25,45,7612.0
615.0,-2.25,41,7740.0
620.0,-1.289999999999992,39,7802.0
625.0,-1.1200000000000045,43,7975.0
630.0,-2.989999999999995,45,8197.0
635.0,-2.25,45,8422.0
640.0,-2.280000000000001,47,8652.0
645.0,-2.3500000000000085,47,8887.0
650.0,-2.3799999999999955,49,9127.0
655.0,-2.450000000000003,51,9374.0
660.0,-2.6400000000000006,56,9643.0
665.0,-2.839999999999989,57,9928.0
670.0,-2.8500000000000085,57,10213.0
675.0,-2.8500000000000085,52,10295.0
680.0,-1.8900000000000006,48,10413.0
