step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,6,10.0,10.0
20.0,-0.1,4,31.0,31.0
25.0,-0.24000000000000002,5,47.0,47.0
30.0,-0.25999999999999995,6,50.0,50.0
35.0,-0.14,7,81.0,81.0
40.0,-0.44999999999999996,10,129.0,129.0
45.0,-0.44999999999999996,6,80.0,80.0
50.0,0.32999999999999996,6,96.0,96.0
55.0,-0.16000000000000003,7,78.0,78.0
60.0,0.5,4,35.0,35.0
65.0,0.08000000000000002,6,55.0,55.0
70.0,0.08000000000000002,4,22.0,22.0
75.0,0.22,5,44.0,44.0
80.0,-0.22,8,80.0,80.0
85.0,-0.52,9,121.0,121.0
90.0,-0.44999999999999996,14,131.0,131.0
95.0,-0.010000000000000009,11,153.0,153.0
100.0,-0.47,12,201.0,201.0
105.0,-0.47,4,145.0,145.0
110.0,0.6499999999999999,4,91.0,91.0
115.0,0.29000000000000004,4,62.0,62.0
120.0,0.6699999999999999,6,40.0,40.0
125.0,-0.33999999999999997,8,78.0,78.0
130.0,-0.33999999999999997,6,71.0,71.0
135.0,-0.08999999999999997,6,101.0,101.0
140.0,-0.30000000000000004,2,78.0,78.0
145.0,0.6799999999999999,0,8.0,8.0
150.0,0.31,1,2.0,2.0
155.0,-0.039999999999999994,1,7.0,7.0
160.0,-0.11000000000000001,7,24.0,24.0
165.0,-0.11000000000000001,7,52.0,52.0
170.0,-0.41999999999999993,9,90.0,90.0
175.0,-0.4,7,106.0,106.0
180.0,-0.020000000000000018,9,119.0,119.0
185.0,-0.45999999999999996,11,169.0,169.0
190.0,-0.45999999999999996,13,229.0,229.0
195.0,-0.8200000000000001,15,297.0,297.0
200.0,-0.6800000000000002,15,292.0,292.0
205.0,0.5100000000000002,12,227.0,227.0
210.0,0.2999999999999998,12,231.0,231.0
215.0,-0.3899999999999997,10,204.0,204.0
220.0,0.8899999999999999,5,171.0,171.0
225.0,0.42999999999999994,6,124.0,124.0
230.0,-0.26,9,158.0,158.0
235.0,-0.26,6,63.0,63.0
240.0,0.8,7,79.0,79.0
245.0,-0.18000000000000005,6,73.0,73.0
250.0,0.27,4,57.0,57.0
255.0,-0.09999999999999998,6,81.0,81.0
260.0,-0.09999999999999998,2,61.0,61.0
265.0,0.08999999999999997,4,78.0,78.0
270.0,-0.17000000000000004,6,30.0,30.0
275.0,0.35000000000000003,8,66.0,66.0
280.0,-0.38999999999999996,8,80.0,80.0
285.0,-0.040000000000000036,8,94.0,94.0
290.0,-0.4,11,137.0,137.0
295.0,-0.4,4,78.0,78.0
300.0,0.44000000000000006,4,65.0,65.0
305.0,0.10999999999999999,9,57.0,57.0
310.0,0.22999999999999998,7,52.0,52.0
315.0,-0.25,8,88.0,88.0
320.0,-0.41999999999999993,9,133.0,133.0
325.0,-0.41999999999999993,7,97.0,97.0
330.0,0.17999999999999994,9,140.0,140.0
335.0,-0.42999999999999994,5,135.0,135.0
340.0,0.25,9,124.0,124.0
345.0,-0.25,8,132.0,132.0
350.0,-0.06000000000000005,8,154.0,154.0
355.0,-0.41000000000000014,10,197.0,197.0
360.0,-0.41000000000000014,6,160.0,160.0
365.0,0.2100000000000002,10,200.0,200.0
370.0,-0.44000000000000017,6,199.0,199.0
375.0,0.28,8,184.0,184.0
380.0,-0.3800000000000001,12,244.0,244.0
385.0,-0.3800000000000001,11,115.0,115.0
390.0,1.0500000000000003,12,175.0,175.0
395.0,-0.6000000000000001,7,165.0,165.0
