step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,5,9.0,9.0
20.0,-0.09,8,49.0,49.0
25.0,-0.4,5,60.0,60.0
30.0,-0.07000000000000006,8,80.0,80.0
35.0,-0.3999999999999999,7,80.0,80.0
40.0,0.09999999999999998,6,92.0,92.0
45.0,-0.31999999999999995,7,125.0,125.0
50.0,-0.31999999999999995,2,93.0,93.0
55.0,0.36,8,101.0,101.0
60.0,-0.27000000000000013,4,121.0,121.0
65.0,-0.1499999999999999,6,136.0,136.0
70.0,-0.33000000000000007,8,173.0,173.0
75.0,-0.33000000000000007,4,138.0,138.0
80.0,0.19000000000000017,6,166.0,166.0
85.0,-0.28,5,56.0,56.0
90.0,0.95,12,106.0,106.0
95.0,-0.5900000000000001,11,110.0,110.0
100.0,0.25,8,103.0,103.0
105.0,-0.1399999999999999,8,127.0,127.0
110.0,-0.1399999999999999,5,99.0,99.0
115.0,0.1499999999999999,5,124.0,124.0
120.0,-0.26,3,87.0,87.0
125.0,0.9500000000000001,5,45.0,45.0
130.0,-0.27,7,76.0,76.0
135.0,-0.27,3,34.0,34.0
140.0,0.27999999999999997,4,49.0,49.0
145.0,-0.14999999999999997,0,18.0,18.0
150.0,0.49,2,5.0,5.0
155.0,-0.09,0,0.0,0.0
160.0,0.01999999999999999,6,13.0,13.0
165.0,-0.38,8,53.0,53.0
170.0,-0.38,8,63.0,63.0
175.0,-0.19,8,96.0,96.0
180.0,-0.4,6,94.0,94.0
185.0,0.12,6,104.0,104.0
190.0,-0.29999999999999993,7,136.0,136.0
195.0,-0.29999999999999993,4,83.0,83.0
200.0,0.39,8,114.0,114.0
205.0,-0.30999999999999994,4,129.0,129.0
210.0,-0.1100000000000001,7,144.0,144.0
215.0,-0.33000000000000007,6,140.0,140.0
220.0,0.19000000000000017,5,144.0,144.0
225.0,-0.29000000000000004,6,174.0,174.0
230.0,-0.29000000000000004,8,66.0,66.0
235.0,0.9299999999999999,12,120.0,120.0
240.0,-0.5700000000000001,8,119.0,119.0
245.0,0.29000000000000004,8,96.0,96.0
250.0,-0.16999999999999993,8,136.0,136.0
255.0,-0.16999999999999993,4,98.0,98.0
260.0,0.21999999999999997,4,118.0,118.0
265.0,-0.19999999999999996,3,70.0,70.0
270.0,1.04,4,25.0,25.0
275.0,-0.2,4,32.0,32.0
280.0,-0.13999999999999996,4,52.0,52.0
285.0,-0.27,6,81.0,81.0
290.0,-0.27,1,16.0,16.0
295.0,0.5700000000000001,2,11.0,11.0
300.0,0.04999999999999999,2,21.0,21.0
305.0,-0.21000000000000002,8,49.0,49.0
310.0,-0.38999999999999996,8,89.0,89.0
315.0,-0.38999999999999996,6,57.0,57.0
320.0,0.16000000000000003,6,86.0,86.0
325.0,-0.29000000000000004,3,75.0,75.0
330.0,0.26,4,66.0,66.0
335.0,-0.14,2,66.0,66.0
340.0,-0.06000000000000005,5,85.0,85.0
345.0,-0.32999999999999985,8,121.0,121.0
350.0,-0.32999999999999985,6,124.0,124.0
355.0,-0.17000000000000015,9,161.0,161.0
360.0,-0.3999999999999999,5,165.0,165.0
365.0,0.10999999999999988,6,164.0,164.0
370.0,-0.22999999999999998,6,194.0,194.0
375.0,-0.22999999999999998,4,150.0,150.0
380.0,0.32000000000000006,10,192.0,192.0
385.0,-0.41999999999999993,7,73.0,73.0
390.0,1.2,10,102.0,102.0
395.0,-0.5,9,115.0,115.0
400.0,0.0,8,130.0,130.0
405.0,-0.3700000000000001,8,167.0,167.0
