step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,6,9.0,9.0
20.0,-0.09,6,31.0,31.0
25.0,-0.33999999999999997,8,65.0,65.0
30.0,-0.38000000000000006,6,73.0,73.0
35.0,0.17000000000000004,5,69.0,69.0
40.0,-0.31999999999999995,8,104.0,104.0
45.0,-0.31999999999999995,4,79.0,79.0
50.0,0.13,7,102.0,102.0
55.0,-0.2600000000000001,6,107.0,107.0
60.0,-0.08999999999999986,8,134.0,134.0
65.0,-0.40000000000000013,8,174.0,174.0
70.0,-0.40000000000000013,6,145.0,145.0
75.0,0.13000000000000012,9,181.0,181.0
80.0,-0.3600000000000001,4,178.0,178.0
85.0,0.16000000000000014,4,167.0,167.0
90.0,-0.15000000000000013,10,179.0,179.0
95.0,-0.22999999999999976,8,211.0,211.0
100.0,-0.4500000000000002,10,258.0,258.0
105.0,-0.4500000000000002,6,91.0,91.0
110.0,1.51,8,127.0,127.0
115.0,-0.40000000000000013,6,138.0,138.0
120.0,-0.04999999999999982,6,154.0,154.0
125.0,-0.3700000000000001,12,203.0,203.0
130.0,-0.6000000000000001,12,263.0,263.0
135.0,-0.6000000000000001,6,123.0,123.0
140.0,1.1600000000000001,8,114.0,114.0
145.0,0.09000000000000008,2,78.0,78.0
150.0,0.71,4,31.0,31.0
155.0,0.03999999999999998,4,51.0,51.0
160.0,-0.21999999999999997,10,45.0,45.0
165.0,0.15999999999999998,6,49.0,49.0
170.0,-0.24999999999999994,6,76.0,76.0
175.0,-0.24999999999999994,4,45.0,45.0
180.0,0.20999999999999996,5,66.0,66.0
185.0,-0.24,4,76.0,76.0
190.0,-0.08000000000000007,6,92.0,92.0
195.0,-0.29000000000000004,7,124.0,124.0
200.0,-0.29000000000000004,6,105.0,105.0
205.0,0.050000000000000044,8,137.0,137.0
210.0,-0.32000000000000006,5,144.0,144.0
215.0,0.050000000000000044,6,150.0,150.0
220.0,-0.30000000000000004,7,60.0,60.0
225.0,0.7000000000000001,8,100.0,100.0
230.0,-0.43000000000000005,11,146.0,146.0
235.0,-0.43000000000000005,10,123.0,123.0
240.0,0.020000000000000018,12,166.0,166.0
245.0,-0.44999999999999996,8,154.0,154.0
250.0,0.6100000000000001,4,93.0,93.0
255.0,0.2499999999999999,5,102.0,102.0
260.0,0.2499999999999999,3,17.0,17.0
265.0,0.75,5,41.0,41.0
270.0,-0.23999999999999996,5,50.0,50.0
275.0,-0.12000000000000005,5,68.0,68.0
280.0,-0.26,5,47.0,47.0
285.0,0.52,3,25.0,25.0
290.0,-0.07,3,37.0,37.0
295.0,-0.07,6,59.0,59.0
300.0,-0.31,6,89.0,89.0
305.0,-0.29999999999999993,10,124.0,124.0
310.0,-0.6100000000000001,11,178.0,178.0
315.0,-0.5899999999999999,13,241.0,241.0
320.0,-0.5899999999999999,5,164.0,164.0
325.0,0.51,6,146.0,146.0
330.0,0.17999999999999994,7,181.0,181.0
335.0,-0.3500000000000001,3,113.0,113.0
340.0,1.23,5,42.0,42.0
345.0,0.05999999999999994,5,30.0,30.0
350.0,0.24,3,31.0,31.0
355.0,-0.18,5,51.0,51.0
360.0,-0.18,0,7.0,7.0
365.0,0.39,2,2.0,2.0
370.0,0.030000000000000006,0,0.0,0.0
375.0,0.04,2,4.0,4.0
380.0,-0.25,8,41.0,41.0
385.0,-0.25,7,44.0,44.0
390.0,-0.19,8,80.0,80.0
395.0,-0.36000000000000004,4,77.0,77.0
400.0,0.13,6,84.0,84.0
