step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,3,7.0,7.0
20.0,-0.07,7,33.0,33.0
25.0,-0.39999999999999997,8,69.0,69.0
30.0,-0.39,7,95.0,95.0
35.0,-0.2899999999999999,6,121.0,121.0
40.0,-0.3500000000000001,8,158.0,158.0
45.0,-0.3999999999999999,8,198.0,198.0
50.0,-0.3999999999999999,8,213.0,213.0
55.0,-0.31000000000000005,10,261.0,261.0
60.0,-0.5100000000000002,12,320.0,320.0
65.0,-0.5999999999999996,8,276.0,276.0
70.0,1.3199999999999998,6,180.0,180.0
75.0,0.32000000000000006,8,183.0,183.0
80.0,0.32000000000000006,4,148.0,148.0
85.0,0.19999999999999996,4,163.0,163.0
90.0,-0.1499999999999999,9,179.0,179.0
95.0,-0.30000000000000004,9,220.0,220.0
100.0,-0.47,9,244.0,244.0
105.0,-0.07000000000000028,7,254.0,254.0
110.0,-0.4299999999999997,10,300.0,300.0
115.0,-0.4299999999999997,6,285.0,285.0
120.0,0.04999999999999982,6,301.0,301.0
125.0,-0.22999999999999998,12,346.0,346.0
130.0,-0.5,12,406.0,406.0
135.0,-0.5999999999999996,10,417.0,417.0
140.0,0.019999999999999574,10,430.0,430.0
145.0,-0.4399999999999995,10,480.0,480.0
150.0,-0.4399999999999995,8,427.0,427.0
155.0,0.33000000000000007,8,467.0,467.0
160.0,-0.40000000000000036,10,473.0,473.0
165.0,-0.0600000000000005,11,504.0,504.0
170.0,-0.5299999999999994,11,559.0,559.0
175.0,-0.5899999999999999,13,624.0,624.0
180.0,-0.6500000000000004,14,690.0,690.0
185.0,-0.7000000000000002,15,765.0,765.0
190.0,-0.75,13,774.0,774.0
195.0,0.1800000000000006,12,789.0,789.0
200.0,-0.3800000000000008,15,830.0,830.0
205.0,-0.3800000000000008,13,893.0,893.0
210.0,-0.9100000000000001,15,966.0,966.0
215.0,-0.75,13,1023.0,1023.0
220.0,-0.8099999999999987,13,1088.0,1088.0
225.0,-0.6900000000000013,15,1161.0,1161.0
230.0,-0.7799999999999994,21,1250.0,1250.0
235.0,-0.7799999999999994,19,1327.0,1327.0
240.0,-1.1799999999999997,19,1422.0,1422.0
245.0,-0.9500000000000011,19,1517.0,1517.0
250.0,-1.33,19,1612.0,1612.0
255.0,-0.9600000000000009,19,1707.0,1707.0
260.0,-1.3199999999999967,19,1802.0,1802.0
265.0,-0.9600000000000009,22,1901.0,1901.0
270.0,-0.9600000000000009,23,2014.0,2014.0
275.0,-1.5800000000000018,25,2135.0,2135.0
280.0,-1.2300000000000004,25,2260.0,2260.0
285.0,-1.25,27,2393.0,2393.0
290.0,-1.3499999999999979,23,2490.0,2490.0
295.0,-1.2600000000000016,25,2596.0,2596.0
300.0,-1.259999999999998,27,2725.0,2725.0
305.0,-1.4700000000000024,33,2885.0,2885.0
310.0,-1.6499999999999986,33,3050.0,3050.0
315.0,-1.6600000000000001,35,3220.0,3220.0
320.0,-1.75,35,3395.0,3395.0
325.0,-1.75,31,3453.0,3453.0
330.0,-1.2800000000000011,31,3589.0,3589.0
335.0,-1.3599999999999994,32,3731.0,3731.0
340.0,-2.030000000000001,35,3894.0,3894.0
345.0,-1.7199999999999989,33,4056.0,4056.0
350.0,-2.240000000000002,33,4221.0,4221.0
355.0,-1.6499999999999986,34,4387.0,4387.0
360.0,-1.6499999999999986,33,4551.0,4551.0
365.0,-2.3100000000000023,35,4720.0,4720.0
370.0,-1.7099999999999937,39,4902.0,4902.0
