step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,2,3.0,3.0
20.0,-0.03,6,31.0,31.0
25.0,-0.4,6,61.0,61.0
30.0,-0.33,6,68.0,68.0
35.0,0.19999999999999996,6,62.0,62.0
40.0,-0.29999999999999993,7,93.0,93.0
45.0,-0.29999999999999993,4,80.0,80.0
50.0,0.09999999999999998,6,95.0,95.0
55.0,-0.25,6,105.0,105.0
60.0,-0.15999999999999992,7,131.0,131.0
65.0,-0.3500000000000001,7,166.0,166.0
70.0,-0.3500000000000001,5,134.0,134.0
75.0,0.17999999999999994,8,164.0,164.0
80.0,-0.2999999999999998,4,165.0,165.0
85.0,0.05999999999999983,5,166.0,166.0
90.0,-0.28,10,69.0,69.0
95.0,0.9500000000000001,8,99.0,99.0
100.0,-0.47999999999999987,12,151.0,151.0
105.0,-0.47999999999999987,6,102.0,102.0
110.0,0.30999999999999983,8,128.0,128.0
115.0,-0.28,4,106.0,106.0
120.0,0.6400000000000001,6,84.0,84.0
125.0,-0.30000000000000004,8,117.0,117.0
130.0,-0.30000000000000004,2,41.0,41.0
135.0,0.6100000000000001,2,23.0,23.0
140.0,0.17999999999999997,1,7.0,7.0
145.0,0.2,1,6.0,6.0
150.0,-0.06,1,4.0,4.0
155.0,0.09,0,0.0,0.0
160.0,-0.08,7,15.0,15.0
165.0,-0.08,6,37.0,37.0
170.0,-0.35,8,70.0,70.0
175.0,-0.35000000000000003,4,74.0,74.0
180.0,0.17000000000000004,6,73.0,73.0
185.0,-0.33999999999999997,8,111.0,111.0
190.0,-0.40000000000000013,10,154.0,154.0
195.0,-0.40000000000000013,8,116.0,116.0
200.0,0.19000000000000017,10,159.0,159.0
205.0,-0.43000000000000016,6,157.0,157.0
210.0,0.09000000000000008,7,169.0,169.0
215.0,-0.3500000000000001,6,165.0,165.0
220.0,0.3700000000000001,6,154.0,154.0
225.0,-0.3600000000000001,8,192.0,192.0
230.0,-0.3600000000000001,9,92.0,92.0
235.0,0.8,14,160.0,160.0
240.0,-0.7,12,170.0,170.0
245.0,0.09000000000000008,10,164.0,164.0
250.0,-0.24,10,209.0,209.0
255.0,-0.24,5,126.0,126.0
260.0,0.6299999999999999,6,130.0,130.0
265.0,-0.040000000000000036,3,90.0,90.0
270.0,0.99,5,44.0,44.0
275.0,-0.24000000000000005,5,37.0,37.0
280.0,0.26000000000000006,4,33.0,33.0
285.0,-0.17000000000000004,4,50.0,50.0
290.0,-0.17000000000000004,0,0.0,0.0
295.0,0.45,2,8.0,8.0
300.0,-0.09000000000000001,0,0.0,0.0
305.0,0.07,7,15.0,15.0
310.0,-0.36,8,55.0,55.0
315.0,-0.36,6,53.0,53.0
320.0,-0.14,7,88.0,88.0
325.0,-0.35,5,79.0,79.0
330.0,0.17000000000000004,5,85.0,85.0
335.0,-0.25,5,82.0,82.0
340.0,0.1499999999999999,8,85.0,85.0
345.0,-0.3599999999999999,8,125.0,125.0
350.0,-0.3599999999999999,4,117.0,117.0
355.0,-0.050000000000000044,8,149.0,149.0
360.0,-0.3500000000000001,4,143.0,143.0
365.0,0.19000000000000017,6,150.0,150.0
370.0,-0.30000000000000004,6,180.0,180.0
375.0,-0.30000000000000004,9,75.0,75.0
380.0,0.9299999999999999,12,134.0,134.0
385.0,-0.5900000000000001,8,127.0,127.0
390.0,0.32000000000000006,8,107.0,107.0
395.0,-0.19999999999999996,7,107.0,107.0
400.0,0.1499999999999999,5,112.0,112.0
405.0,-0.26,6,139.0,139.0
