step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,3,5.0,5.0
20.0,-0.05,8,42.0,42.0
25.0,-0.37,4,58.0,58.0
30.0,-0.12000000000000005,7,75.0,75.0
35.0,-0.35,7,71.0,71.0
40.0,-0.16000000000000003,9,114.0,114.0
45.0,-0.45999999999999996,10,161.0,161.0
50.0,-0.45999999999999996,7,96.0,96.0
55.0,0.48,11,114.0,114.0
60.0,-0.21999999999999997,7,108.0,108.0
65.0,0.41000000000000003,6,73.0,73.0
70.0,0.010000000000000009,7,96.0,96.0
75.0,0.010000000000000009,4,33.0,33.0
80.0,0.49999999999999994,7,65.0,65.0
85.0,-0.32,5,74.0,74.0
90.0,-0.20999999999999996,11,118.0,118.0
95.0,-0.5599999999999999,10,112.0,112.0
100.0,0.41999999999999993,7,96.0,96.0
105.0,-0.1100000000000001,7,118.0,118.0
110.0,-0.1100000000000001,5,69.0,69.0
115.0,0.3500000000000001,7,104.0,104.0
120.0,-0.3500000000000001,5,107.0,107.0
125.0,0.040000000000000036,9,121.0,121.0
130.0,-0.43999999999999995,10,171.0,171.0
135.0,-0.43999999999999995,6,147.0,147.0
140.0,0.040000000000000036,8,179.0,179.0
145.0,-0.32000000000000006,4,170.0,170.0
150.0,0.3900000000000001,8,163.0,163.0
155.0,-0.3900000000000001,6,64.0,64.0
160.0,0.76,13,116.0,116.0
165.0,-0.6699999999999999,14,184.0,184.0
170.0,-0.6699999999999999,8,145.0,145.0
175.0,0.16999999999999993,10,167.0,167.0
180.0,-0.24,7,150.0,150.0
185.0,0.49,5,120.0,120.0
190.0,-0.050000000000000044,7,146.0,146.0
195.0,-0.050000000000000044,4,30.0,30.0
200.0,1.03,7,59.0,59.0
205.0,-0.29,4,49.0,49.0
210.0,0.20999999999999996,4,44.0,44.0
215.0,-0.14,2,23.0,23.0
220.0,0.52,0,0.0,0.0
225.0,-0.08,2,10.0,10.0
230.0,-0.08,3,21.0,21.0
235.0,-0.2,8,59.0,59.0
240.0,-0.39,5,59.0,59.0
245.0,0.12,6,65.0,65.0
250.0,-0.2799999999999999,6,95.0,95.0
255.0,-0.2799999999999999,6,81.0,81.0
260.0,0.019999999999999907,8,121.0,121.0
265.0,-0.3999999999999999,12,173.0,173.0
270.0,-0.52,12,206.0,206.0
275.0,-0.41999999999999993,12,251.0,251.0
280.0,-0.6200000000000001,12,218.0,218.0
285.0,1.01,6,182.0,182.0
290.0,0.5900000000000001,6,123.0,123.0
295.0,0.5900000000000001,8,62.0,62.0
300.0,0.47,8,102.0,102.0
305.0,-0.40000000000000013,9,110.0,110.0
310.0,0.0,8,121.0,121.0
315.0,-0.34999999999999987,10,165.0,165.0
320.0,-0.34999999999999987,2,75.0,75.0
325.0,0.7,3,47.0,47.0
330.0,0.28,2,54.0,54.0
335.0,-0.10999999999999999,2,64.0,64.0
340.0,-0.10000000000000009,4,7.0,7.0
345.0,0.37000000000000005,7,38.0,38.0
350.0,-0.39999999999999997,10,81.0,81.0
355.0,-0.39999999999999997,8,68.0,68.0
360.0,-0.050000000000000044,9,109.0,109.0
365.0,-0.41999999999999993,12,161.0,161.0
370.0,-0.55,8,157.0,157.0
375.0,0.3799999999999999,11,136.0,136.0
380.0,-0.42999999999999994,14,206.0,206.0
385.0,-0.7,16,279.0,279.0
390.0,-0.7,7,188.0,188.0
395.0,0.6000000000000001,7,145.0,145.0
400.0,0.42999999999999994,8,158.0,158.0
405.0,-0.29000000000000004,9,199.0,199.0
