step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,5,6.0,6.0
20.0,-0.06,6,31.0,31.0
25.0,-0.37,6,61.0,61.0
30.0,-0.38000000000000006,8,79.0,79.0
35.0,0.040000000000000036,8,85.0,85.0
40.0,-0.43999999999999995,10,131.0,131.0
45.0,-0.43999999999999995,5,110.0,110.0
50.0,0.3999999999999999,6,92.0,92.0
55.0,-0.16999999999999993,7,72.0,72.0
60.0,0.53,4,34.0,34.0
65.0,0.040000000000000036,6,53.0,53.0
70.0,0.040000000000000036,4,23.0,23.0
75.0,0.17999999999999997,6,46.0,46.0
80.0,-0.23,4,52.0,52.0
85.0,-0.10000000000000003,5,69.0,69.0
90.0,-0.2899999999999999,9,62.0,62.0
95.0,0.29999999999999993,6,61.0,61.0
100.0,-0.20999999999999996,8,84.0,84.0
105.0,-0.20999999999999996,6,85.0,85.0
110.0,-0.15000000000000002,9,124.0,124.0
115.0,-0.43000000000000005,6,115.0,115.0
120.0,0.5100000000000001,8,99.0,99.0
125.0,-0.41000000000000003,10,144.0,144.0
130.0,-0.41000000000000003,4,78.0,78.0
135.0,0.45999999999999996,6,81.0,81.0
140.0,-0.030000000000000027,2,46.0,46.0
145.0,0.6200000000000001,2,12.0,12.0
150.0,0.03,2,6.0,6.0
155.0,0.16,0,0.0,0.0
160.0,-0.1,7,17.0,17.0
165.0,-0.1,6,43.0,43.0
170.0,-0.39,9,78.0,78.0
175.0,-0.39,6,91.0,91.0
180.0,0.07999999999999996,7,93.0,93.0
185.0,-0.42999999999999994,10,143.0,143.0
190.0,-0.42999999999999994,5,80.0,80.0
195.0,0.42999999999999994,7,98.0,98.0
200.0,-0.17999999999999994,6,83.0,83.0
205.0,0.43999999999999995,4,45.0,45.0
210.0,0.030000000000000027,4,37.0,37.0
215.0,0.32,3,22.0,22.0
220.0,-0.2,5,44.0,44.0
225.0,-0.2,4,55.0,55.0
230.0,-0.19999999999999996,5,77.0,77.0
235.0,-0.25,8,66.0,66.0
240.0,0.35,7,55.0,55.0
245.0,-0.29000000000000004,8,94.0,94.0
250.0,-0.29000000000000004,6,93.0,93.0
255.0,-0.15000000000000002,8,132.0,132.0
260.0,-0.39,6,118.0,118.0
265.0,0.4900000000000001,8,107.0,107.0
270.0,-0.41000000000000003,8,94.0,94.0
275.0,0.47,4,70.0,70.0
280.0,-0.010000000000000009,6,84.0,84.0
285.0,-0.010000000000000009,1,16.0,16.0
290.0,0.61,1,7.0,7.0
295.0,0.08000000000000002,0,4.0,4.0
300.0,0.09,0,0.0,0.0
305.0,-0.06,8,21.0,21.0
310.0,-0.39,8,61.0,61.0
315.0,-0.39,9,80.0,80.0
320.0,-0.35000000000000003,10,130.0,130.0
325.0,-0.5,8,140.0,140.0
330.0,0.1100000000000001,10,149.0,149.0
335.0,-0.5,10,137.0,137.0
340.0,0.44999999999999996,9,133.0,133.0
345.0,-0.33000000000000007,12,169.0,169.0
350.0,-0.33000000000000007,6,92.0,92.0
355.0,0.5900000000000001,6,78.0,78.0
360.0,0.14,5,67.0,67.0
365.0,0.37999999999999995,8,62.0,62.0
370.0,-0.39999999999999997,8,102.0,102.0
375.0,-0.39999999999999997,9,91.0,91.0
380.0,-0.050000000000000044,12,150.0,150.0
385.0,-0.59,13,212.0,212.0
390.0,-0.6200000000000001,8,194.0,194.0
395.0,0.6200000000000001,6,135.0,135.0
400.0,0.1399999999999999,7,109.0,109.0
405.0,0.56,5,85.0,85.0
