step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,3,3.0,3.0
20.0,-0.03,6,28.0,28.0
25.0,-0.37,8,60.0,60.0
30.0,-0.36,6,70.0,70.0
35.0,0.17000000000000004,5,64.0,64.0
40.0,-0.32000000000000006,7,98.0,98.0
45.0,-0.32000000000000006,4,75.0,75.0
50.0,0.12,5,97.0,97.0
55.0,-0.25,10,142.0,142.0
60.0,-0.48,7,147.0,147.0
65.0,0.06000000000000005,6,157.0,157.0
70.0,-0.30000000000000004,7,190.0,190.0
75.0,-0.30000000000000004,8,139.0,139.0
80.0,0.3700000000000001,8,179.0,179.0
85.0,-0.40000000000000013,8,219.0,219.0
90.0,-0.3999999999999999,9,233.0,233.0
95.0,-0.040000000000000036,9,245.0,245.0
100.0,-0.43000000000000016,11,299.0,299.0
105.0,-0.5499999999999998,9,291.0,291.0
110.0,0.4500000000000002,6,282.0,282.0
115.0,-0.13000000000000034,8,297.0,297.0
120.0,-0.13000000000000034,5,308.0,308.0
125.0,-0.23999999999999977,10,348.0,348.0
130.0,-0.45999999999999996,7,170.0,170.0
135.0,2.51,9,126.0,126.0
140.0,-0.47,11,177.0,177.0
145.0,-0.47,7,160.0,160.0
150.0,-0.050000000000000044,9,199.0,199.0
155.0,-0.3899999999999999,4,139.0,139.0
160.0,1.12,10,81.0,81.0
165.0,-0.14,8,75.0,75.0
170.0,0.37,5,69.0,69.0
175.0,-0.15000000000000002,7,86.0,86.0
180.0,-0.15000000000000002,4,69.0,69.0
185.0,0.13,4,82.0,82.0
190.0,-0.19999999999999996,3,88.0,88.0
195.0,-0.10999999999999999,6,107.0,107.0
200.0,-0.31000000000000005,9,145.0,145.0
205.0,-0.31000000000000005,4,118.0,118.0
210.0,0.10000000000000009,8,149.0,149.0
215.0,-0.31000000000000005,6,76.0,76.0
220.0,0.6,8,113.0,113.0
225.0,-0.41000000000000003,8,96.0,96.0
230.0,0.54,6,82.0,82.0
235.0,-0.22999999999999998,11,110.0,110.0
240.0,-0.22999999999999998,6,68.0,68.0
245.0,0.25,8,86.0,86.0
250.0,-0.19999999999999996,4,85.0,85.0
255.0,0.24,8,84.0,84.0
260.0,-0.3800000000000001,8,124.0,124.0
265.0,-0.3800000000000001,6,106.0,106.0
270.0,0.020000000000000018,11,151.0,151.0
275.0,-0.44999999999999996,6,155.0,155.0
280.0,0.09000000000000008,8,158.0,158.0
285.0,-0.32000000000000006,6,159.0,159.0
290.0,0.33000000000000007,5,146.0,146.0
295.0,-0.3400000000000001,8,183.0,183.0
300.0,-0.3400000000000001,6,206.0,206.0
305.0,-0.3900000000000001,13,264.0,264.0
310.0,-0.6399999999999997,10,267.0,267.0
315.0,0.27,10,252.0,252.0
320.0,-0.31000000000000005,10,302.0,302.0
325.0,-0.31000000000000005,8,119.0,119.0
330.0,1.63,10,169.0,169.0
335.0,-0.5,10,205.0,205.0
340.0,-0.5699999999999998,14,267.0,267.0
345.0,-0.6900000000000004,14,277.0,277.0
350.0,0.2400000000000002,10,281.0,281.0
355.0,-0.14000000000000012,10,295.0,295.0
360.0,-0.5,10,345.0,345.0
365.0,-0.5,5,147.0,147.0
370.0,1.83,6,69.0,69.0
375.0,0.77,7,52.0,52.0
380.0,0.24,8,63.0,63.0
385.0,-0.36,8,103.0,103.0
390.0,-0.36,6,70.0,70.0
395.0,0.17000000000000004,6,96.0,96.0
400.0,-0.26,4,101.0,101.0
405.0,-0.1200000000000001,4,120.0,120.0
