step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,5,6.0
20.0,-0.06,8,41.0
25.0,-0.35,9,82.0
30.0,-0.41,10,131.0
35.0,-0.4900000000000001,10,181.0
40.0,-0.5,6,179.0
45.0,0.16000000000000014,7,180.0
50.0,-0.31000000000000005,8,212.0
55.0,-0.5800000000000001,11,265.0
60.0,-0.5499999999999998,11,320.0
65.0,-0.5499999999999998,10,361.0
70.0,-0.6300000000000003,12,420.0
75.0,-0.6000000000000001,13,481.0
80.0,-0.6299999999999999,10,520.0
85.0,-0.46999999999999975,12,566.0
90.0,-0.7400000000000002,18,652.0
95.0,-0.8999999999999995,18,742.0
100.0,-0.8999999999999995,18,811.0
105.0,-1.0499999999999998,18,901.0
110.0,-0.9000000000000004,20,999.0
115.0,-0.9800000000000004,16,1060.0
120.0,-0.7899999999999991,17,1128.0
125.0,-0.9100000000000001,22,1235.0
130.0,-1.0999999999999996,20,1327.0
135.0,-1.2800000000000011,20,1427.0
140.0,-1.0299999999999994,21,1531.0
145.0,-1.0299999999999994,20,1627.0
150.0,-1.3800000000000008,22,1735.0
155.0,-1.0899999999999999,22,1829.0
160.0,-1.4499999999999993,27,1955.0
165.0,-1.3599999999999994,28,2094.0
170.0,-1.4100000000000001,30,2238.0
175.0,-1.4100000000000001,20,1739.0
180.0,4.399999999999999,14,1140.0
185.0,5.99,10,1151.0
190.0,-0.02999999999999936,14,1169.0
195.0,-0.5999999999999996,22,1263.0
200.0,-1.08,24,1383.0
205.0,-1.200000000000001,24,1503.0
210.0,-1.2299999999999986,26,1632.0
215.0,-1.3000000000000007,26,1762.0
220.0,-1.3099999999999987,28,1899.0
225.0,-1.4000000000000021,28,2039.0
230.0,-1.3999999999999986,33,2102.0
235.0,-0.490000000000002,27,2171.0
240.0,-0.5299999999999976,27,2219.0
245.0,-0.5299999999999976,29,2349.0
250.0,-1.8100000000000023,29,2494.0
255.0,-1.4499999999999993,27,2612.0
260.0,-1.5399999999999991,26,2727.0
265.0,-1.4100000000000001,32,2882.0
270.0,-1.4100000000000001,32,3029.0
275.0,-2.1099999999999994,33,3190.0
280.0,-1.6099999999999994,34,3358.0
285.0,-1.6799999999999997,34,3528.0
290.0,-1.7000000000000028,30,3649.0
295.0,-1.5700000000000003,32,3779.0
300.0,-1.5799999999999983,34,3931.0
305.0,-2.3800000000000026,38,4119.0
310.0,-1.8999999999999986,38,4309.0
315.0,-1.8999999999999986,37,4473.0
320.0,-2.3900000000000006,37,4658.0
325.0,-1.8500000000000014,36,4834.0
330.0,-2.469999999999999,38,5017.0
335.0,-1.9699999999999989,42,5223.0
340.0,-2.1099999999999994,44,5438.0
345.0,-2.200000000000003,44,5658.0
350.0,-2.1999999999999957,46,5881.0
355.0,-2.1999999999999957,41,6016.0
360.0,-2.259999999999998,42,6218.0
365.0,-2.020000000000003,40,6407.0
370.0,-2.710000000000001,45,6620.0
375.0,-2.219999999999999,48,6851.0
380.0,-2.3599999999999994,48,7091.0
385.0,-2.4000000000000057,46,7309.0
390.0,-3.0600000000000023,46,7539.0
395.0,-2.299999999999997,46,7769.0
400.0,-2.299999999999997,48,8001.0
405.0,-3.259999999999991,48,8241.0
410.0,-2.4000000000000057,48,8481.0
415.0,-3.3599999999999994,48,8721.0
420.0,-2.4200000000000017,50,8967.0
425.0,-2.5,50,9217.0
430.0,-2.5,42,8190.0
435.0,9.269999999999996,35,7262.0
440.0,9.280000000000001,24,6853.0
445.0,3.8800000000000097,25,6933.0
450.0,-1.0700000000000074,30,7066.0
455.0,-1.4699999999999989,36,7230.0
460.0,-1.7999999999999972,44,7438.0
465.0,-2.239999999999995,48,7676.0
470.0,-2.410000000000011,50,7922.0
475.0,-2.489999999999995,50,8172.0
480.0,-2.5400000000000063,52,8344.0
485.0,-1.9599999999999937,46,8493.0
490.0,-1.4899999999999949,47,8665.0
495.0,-2.3400000000000034,48,8903.0
500.0,-2.4399999999999977,50,9149.0
505.0,-2.4399999999999977,46,9352.0
510.0,-3.0,50,9593.0
515.0,-2.440000000000012,54,9853.0
520.0,-2.6399999999999864,56,10126.0
525.0,-2.75,56,10406.0
530.0,-2.8000000000000114,57,10689.0
535.0,-2.8499999999999943,58,10979.0
540.0,-2.9000000000000057,58,11269.0
545.0,-2.9099999999999966,62,11572.0
550.0,-3.0600000000000023,62,11882.0
555.0,-3.1099999999999994,60,12097.0
560.0,-2.489999999999995,55,12250.0
565.0,-1.9200000000000017,56,12491.0
570.0,-1.9200000000000017,57,12760.0
575.0,-3.739999999999995,57,13045.0
580.0,-2.8499999999999943,54,13302.0
585.0,-3.530000000000001,54,13558.0
590.0,-2.700000000000017,56,13836.0
595.0,-3.9199999999999875,56,14116.0
600.0,-2.8000000000000114,56,14396.0
605.0,-2.8000000000000114,56,14676.0
610.0,-3.9199999999999875,57,14957.0
615.0,-2.819999999999993,56,15236.0
620.0,-3.9000000000000057,56,15516.0
625.0,-2.8000000000000114,56,15796.0
630.0,-2.8000000000000114,48,13751.0
635.0,19.330000000000013,42,12229.0
640.0,15.219999999999985,46,12439.0
645.0,-3.039999999999992,52,12685.0
650.0,-2.5600000000000023,52,12056.0
655.0,14.310000000000002,43,11401.0
660.0,14.510000000000005,33,9180.0
665.0,14.510000000000005,30,9333.0
670.0,5.439999999999998,28,9473.0
