step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,4,11.0,11.0
20.0,-0.11,6,28.0,28.0
25.0,-0.29000000000000004,8,60.0,60.0
30.0,-0.36,6,69.0,69.0
35.0,0.15000000000000002,5,66.0,66.0
40.0,-0.29000000000000004,7,97.0,97.0
45.0,-0.29000000000000004,4,71.0,71.0
50.0,0.15000000000000002,5,92.0,92.0
55.0,-0.22999999999999998,6,101.0,101.0
60.0,-0.17999999999999994,8,132.0,132.0
65.0,-0.40000000000000013,9,173.0,173.0
70.0,-0.40000000000000013,6,149.0,149.0
75.0,0.07000000000000006,8,183.0,183.0
80.0,-0.3400000000000001,4,177.0,177.0
85.0,0.24,4,165.0,165.0
90.0,-0.19999999999999996,10,180.0,180.0
95.0,-0.27,8,214.0,214.0
100.0,-0.41999999999999993,10,258.0,258.0
105.0,-0.41999999999999993,6,88.0,88.0
110.0,1.54,9,126.0,126.0
115.0,-0.41000000000000014,6,115.0,115.0
120.0,0.5200000000000001,8,99.0,99.0
125.0,-0.43000000000000005,10,146.0,146.0
130.0,-0.43000000000000005,4,84.0,84.0
135.0,0.42000000000000004,6,83.0,83.0
140.0,0.010000000000000009,0,46.0,46.0
145.0,0.6699999999999999,2,9.0,9.0
150.0,0.01999999999999999,4,26.0,26.0
155.0,-0.27999999999999997,4,46.0,46.0
160.0,-0.32,10,84.0,84.0
165.0,-0.32,4,44.0,44.0
170.0,0.26,6,57.0,57.0
175.0,-0.15000000000000002,2,49.0,49.0
180.0,0.19,4,51.0,51.0
185.0,-0.19,4,71.0,71.0
190.0,-0.19,2,67.0,67.0
195.0,-0.040000000000000036,6,84.0,84.0
200.0,-0.16999999999999993,7,110.0,110.0
205.0,-0.41000000000000003,8,149.0,149.0
210.0,-0.3999999999999999,6,169.0,169.0
215.0,-0.31000000000000005,7,203.0,203.0
220.0,-0.3900000000000001,9,244.0,244.0
225.0,-0.3900000000000001,7,152.0,152.0
230.0,0.76,12,194.0,194.0
235.0,-0.49,11,225.0,225.0
240.0,-0.23999999999999977,10,245.0,245.0
245.0,-0.48,12,304.0,304.0
250.0,-0.48,5,133.0,133.0
255.0,1.4699999999999998,7,90.0,90.0
260.0,0.43000000000000005,3,66.0,66.0
265.0,0.55,3,22.0,22.0
270.0,0.03999999999999998,6,22.0,22.0
275.0,-0.010000000000000009,6,38.0,38.0
280.0,-0.3,6,68.0,68.0
285.0,-0.3,4,32.0,32.0
290.0,0.26,5,55.0,55.0
295.0,-0.24,4,41.0,41.0
300.0,0.38,2,20.0,20.0
305.0,-0.09,9,47.0,47.0
310.0,-0.09,6,40.0,40.0
315.0,-0.09000000000000002,8,73.0,73.0
320.0,-0.32999999999999996,4,74.0,74.0
325.0,0.17999999999999994,6,72.0,72.0
330.0,-0.31999999999999995,6,78.0,78.0
335.0,0.07999999999999996,4,83.0,83.0
340.0,-0.24,8,111.0,111.0
345.0,-0.24,8,115.0,115.0
350.0,-0.1499999999999999,8,150.0,150.0
355.0,-0.40000000000000013,6,162.0,162.0
360.0,0.050000000000000044,6,165.0,165.0
365.0,-0.31000000000000005,9,202.0,202.0
370.0,-0.31000000000000005,4,155.0,155.0
375.0,0.29000000000000004,8,175.0,175.0
380.0,-0.19999999999999996,12,229.0,229.0
385.0,-0.54,9,122.0,122.0
390.0,1.0,12,165.0,165.0
395.0,-0.5999999999999999,12,162.0,162.0
400.0,0.34999999999999987,8,150.0,150.0
405.0,-0.16999999999999993,10,181.0,181.0
