,state,Actions Rewards
44,"([(24.0, 24), (19.0, 22.0)], 4, [(24.0, 24), (19.0, 22.0)], 1)",[0.         0.         1.59832399]
45,"([(1.0, 4.0), (21.0, 24)], 2, [(1.0, 4.0), (21.0, 24)], 1)",[-0.04350155 -0.096291   -0.09157452]
46,"([(0, 10.0), (1.0, 4.0)], 3, [(0, 10.0), (1.0, 4.0)], 1)",[ 0.         -0.01322793  0.        ]
47,"([(1.0, 4.0), (18.0, 24)], 3, [(1.0, 4.0), (18.0, 24)], 1)",[-0.02272984 -0.07254048 -0.01324165]
48,"([(3.0, 13.0), (1.0, 4.0)], 3, [(3.0, 13.0), (1.0, 4.0)], 1)",[ 0.         -0.05332007 -0.0213749 ]
49,"([(14.0, 23.0), (19.0, 22.0)], 4, [(14.0, 23.0), (19.0, 22.0)], 1)",[-0.01602086 -0.01981346 -0.01954203]
50,"([(1.0, 4.0), (15.0, 24)], 3, [(1.0, 4.0), (15.0, 24)], 1)",[-0.02524449 -0.0421822  -0.02368431]
51,"([(7.0, 16.0), (1.0, 4.0)], 3, [(7.0, 16.0), (1.0, 4.0)], 1)",[-0.04101183  0.         -0.01078046]
52,"([(11.0, 21.0), (19.0, 22.0)], 2, [(11.0, 21.0), (19.0, 22.0)], 1)",[-0.30367088 -0.3601687  -0.22919067]
53,"([(1.0, 4.0), (11.0, 21.0)], 4, [(1.0, 4.0), (11.0, 21.0)], 1)",[-0.01562178  0.         -0.01180875]
54,"([(10.0, 20.0), (1.0, 4.0)], 4, [(10.0, 20.0), (1.0, 4.0)], 1)",[0. 0. 0.]
55,"([(11.0, 20.0), (19.0, 22.0)], 0, [(11.0, 20.0), (19.0, 22.0)], 1)",[  -4.50904739 -104.47058257   -4.59481339]
56,"([(1.0, 4.0), (7.0, 17.0)], 4, [(1.0, 4.0), (7.0, 17.0)], 1)",[-0.01790413 -0.01148837 -0.00637192]
57,"([(1.0, 4.0), (3.0, 12.0)], 4, [(1.0, 4.0), (3.0, 12.0)], 1)",[0. 0. 0.]
58,"([(10.0, 19.0), (19.0, 22.0)], 1, [(10.0, 19.0), (19.0, 22.0)], 1)",[-0.01992704 -0.1575235   0.        ]
59,"([(8.0, 18.0), (19.0, 22.0)], 1, [(8.0, 18.0), (19.0, 22.0)], 1)",[-0.04599807 -0.02453882  0.        ]
60,"([(8.0, 18.0), (19.0, 22.0)], 0, [(8.0, 18.0), (19.0, 22.0)], 1)",[-1.16493498 -1.18178384 -1.2773572 ]
61,"([(8.0, 17.0), (19.0, 22.0)], 0, [(8.0, 17.0), (19.0, 22.0)], 1)",[-1.4749762  -1.42760897 -1.47625857]
62,"([(7.0, 17.0), (19.0, 22.0)], 1, [(7.0, 17.0), (19.0, 22.0)], 1)",[-0.04113877  0.         -0.02329681]
63,"([(19.0, 22.0), (0, 0.0)], 2, [(19.0, 22.0), (0, 0.0)], 1)",[3.39830947 1.12691135 5.654356  ]
64,"([(19.0, 22.0), (0, 2.0)], 2, [(19.0, 22.0), (0, 2.0)], 1)",[-0.03817732 -0.11956758 -0.03790603]
65,"([(6.0, 16.0), (19.0, 22.0)], 1, [(6.0, 16.0), (19.0, 22.0)], 1)",[-0.01947453 -0.02463105  0.        ]
66,"([(19.0, 22.0), (0, 5.0)], 3, [(19.0, 22.0), (0, 5.0)], 1)",[-0.01291612 -0.03508606 -0.02153691]
67,"([(5.0, 14.0), (19.0, 22.0)], 1, [(5.0, 14.0), (19.0, 22.0)], 1)",[-0.05970079 -0.04836166 -0.04228035]
68,"([(19.0, 22.0), (0, 8.0)], 3, [(19.0, 22.0), (0, 8.0)], 1)",[ 0.         -0.01253783 -0.06520744]
69,"([(3.0, 12.0), (19.0, 22.0)], 2, [(3.0, 12.0), (19.0, 22.0)], 1)",[-0.03787432  0.          0.        ]
70,"([(19.0, 22.0), (2.0, 11.0)], 3, [(19.0, 22.0), (2.0, 11.0)], 1)",[-0.03286459 -0.01256114  0.        ]
71,"([(0, 10.0), (19.0, 22.0)], 2, [(0, 10.0), (19.0, 22.0)], 1)",[0. 0. 0.]
72,"([(19.0, 22.0), (6.0, 15.0)], 4, [(19.0, 22.0), (6.0, 15.0)], 1)",[ 0.        -0.0089664  0.       ]
73,"([(19.0, 22.0), (10.0, 19.0)], 4, [(19.0, 22.0), (10.0, 19.0)], 1)",[0. 0. 0.]
74,"([(0, 5.0), (1.0, 4.0)], 3, [(0, 5.0), (1.0, 4.0)], 1)",[ 0.         -0.02783902  0.        ]
75,"([(0, 8.0), (1.0, 4.0)], 3, [(0, 8.0), (1.0, 4.0)], 1)",[-0.01156672 -0.01338633 -0.01515421]
76,"([(3.0, 12.0), (1.0, 4.0)], 4, [(3.0, 12.0), (1.0, 4.0)], 1)",[ 0.         -0.01908489  0.        ]
77,"([(7.0, 16.0), (1.0, 4.0)], 4, [(7.0, 16.0), (1.0, 4.0)], 1)",[-0.04031156 -0.00799529 -0.00800723]
78,"([(11.0, 20.0), (1.0, 4.0)], 4, [(11.0, 20.0), (1.0, 4.0)], 1)",[0. 0. 0.]
79,"([(1.0, 4.0), (19.0, 24)], 2, [(1.0, 4.0), (19.0, 24)], 1)",[-0.03288193 -0.03640358 -0.03804887]
80,"([(1.0, 4.0), (18.0, 24)], 2, [(1.0, 4.0), (18.0, 24)], 1)",[-0.02264206 -0.10247303 -0.0233283 ]
81,"([(1.0, 4.0), (16.0, 24)], 2, [(1.0, 4.0), (16.0, 24)], 1)",[-0.04609654 -0.05792589 -0.03866691]
82,"([(1.0, 4.0), (14.0, 23.0)], 2, [(1.0, 4.0), (14.0, 23.0)], 1)",[-0.03135245 -0.01874844  0.        ]
83,"([(1.0, 4.0), (11.0, 21.0)], 3, [(1.0, 4.0), (11.0, 21.0)], 1)",[-0.02136359  0.         -0.01337731]
84,"([(1.0, 4.0), (8.0, 18.0)], 3, [(1.0, 4.0), (8.0, 18.0)], 1)",[ 0.         -0.01257976 -0.0099124 ]
85,"([(1.0, 4.0), (5.0, 14.0)], 3, [(1.0, 4.0), (5.0, 14.0)], 1)",[ 0.          0.         -0.03152896]
86,"([(19.0, 22.0), (0, 4.0)], 2, [(19.0, 22.0), (0, 4.0)], 1)",[-0.07769556 -0.03703339 -0.03263083]
87,"([(1.0, 4.0), (1.0, 11.0)], 4, [(1.0, 4.0), (1.0, 11.0)], 1)",[0. 0. 0.]
88,"([(19.0, 22.0), (0, 6.0)], 2, [(19.0, 22.0), (0, 6.0)], 1)",[-0.05228909 -0.05793015 -0.03114961]
89,"([(19.0, 22.0), (0, 9.0)], 3, [(19.0, 22.0), (0, 9.0)], 1)",[-0.05371165 -0.02236078 -0.0288804 ]
90,"([(19.0, 22.0), (6.0, 15.0)], 3, [(19.0, 22.0), (6.0, 15.0)], 1)",[ 0.         -0.0215457  -0.03200654]
91,"([(19.0, 22.0), (9.0, 19.0)], 4, [(19.0, 22.0), (9.0, 19.0)], 1)",[0. 0. 0.]
92,"([(1.0, 4.0), (24.0, 24)], 0, [(1.0, 4.0), (24.0, 24)], 1)",[-0.08917862 -0.11560196 -0.13830718]
93,"([(0, 0.0), (1.0, 4.0)], 2, [(0, 0.0), (1.0, 4.0)], 1)",[2.05045544 5.86558527 1.75396356]
94,"([(0, 2.0), (1.0, 4.0)], 2, [(0, 2.0), (1.0, 4.0)], 1)",[-0.02379094 -0.08045153 -0.07976128]
95,"([(0, 4.0), (1.0, 4.0)], 2, [(0, 4.0), (1.0, 4.0)], 1)",[-0.08562333 -0.02321643 -0.04667701]
96,"([(1.0, 4.0), (23.0, 24)], 0, [(1.0, 4.0), (23.0, 24)], 1)",[-0.06576995 -0.02459989 -0.02499529]
97,"([(0, 6.0), (1.0, 4.0)], 2, [(0, 6.0), (1.0, 4.0)], 1)",[-0.05779242 -0.02325957 -0.01516436]
98,"([(1.0, 4.0), (22.0, 24)], 1, [(1.0, 4.0), (22.0, 24)], 1)",[-0.05721342 -0.04842862 -0.02403131]
99,"([(0, 9.0), (1.0, 4.0)], 3, [(0, 9.0), (1.0, 4.0)], 1)",[-0.05527791 -0.1030043  -0.01057726]
100,"([(1.0, 4.0), (21.0, 24)], 1, [(1.0, 4.0), (21.0, 24)], 1)",[-0.02127756  0.         -0.01884097]
101,"([(2.0, 12.0), (1.0, 4.0)], 3, [(2.0, 12.0), (1.0, 4.0)], 1)",[ 0.         -0.01257988  0.        ]
102,"([(5.0, 15.0), (1.0, 4.0)], 3, [(5.0, 15.0), (1.0, 4.0)], 1)",[-0.01079416  0.          0.        ]
103,"([(1.0, 4.0), (17.0, 24)], 2, [(1.0, 4.0), (17.0, 24)], 1)",[-0.08000469 -0.07372963 -0.02317562]
104,"([(9.0, 19.0), (1.0, 4.0)], 4, [(9.0, 19.0), (1.0, 4.0)], 1)",[-0.00952115  0.          0.        ]
105,"([(13.0, 23.0), (1.0, 4.0)], 4, [(13.0, 23.0), (1.0, 4.0)], 1)",[0. 0. 0.]
106,"([(1.0, 4.0), (12.0, 21.0)], 3, [(1.0, 4.0), (12.0, 21.0)], 1)",[-0.02152358 -0.02164754 -0.03288898]
